group,n_postdoc_abroad,n_mid_abroad,postdoc_return_rate,mid_return_rate,beta_baseline,beta_counterfactual,T_baseline,T_counterfactual,delta_T,delta_margin
Anglosphere ex-US,9.0,10.0,0.3333333333333333,0.5,0.0559615787935422,0.057419523769858004,752.1233876326331,752.8150224047761,0.6916347721429474,0.6916347721429474
Continental Europe,8.0,14.0,0.25,0.5,0.0538996500732687,0.05415972824327444,1156.273540286361,1156.429223236226,0.15568294986519504,0.15568294986519504
Hindu,4.0,0.0,1.0,0.0,0.1791759469228055,2.0,1497.3697119747908,1499.9855906477947,2.615878673003863,2.615878673003863
Islamic,3.0,4.0,1.0,0.75,0.1504077396776274,0.13862943611198905,892.4150126191166,891.8258278956015,-0.5891847235151317,-0.5891847235151317
Japanese,2.0,2.0,0.5,1.0,0.1098612288668109,0.14916548767777169,206.80613971820682,208.0414174323516,1.235277714144786,1.235277714144786
Other Civilizations,1.0,5.0,1.0,0.6,0.0980829253011726,0.0916290731874155,424.69788750901796,424.13501174883504,-0.5628757601829193,-0.5628757601829193
Other Western,3.0,5.0,0.6666666666666666,1.0,0.16094379124341,0.23025850929940458,513.116268880715,514.4191890251573,1.3029201444422824,1.3029201444422824
Sinic,9.0,7.0,0.5555555555555556,0.8571428571428571,0.1098612288668109,0.12685113254635072,1783.6369191321683,1785.8026760902694,2.1657569581011558,2.1657569581011558
United States,12.0,6.0,0.25,0.3333333333333333,0.0356674943938732,0.034876976443161914,801.7049961301439,801.1399104097522,-0.5650857203916075,-0.5650857203916075
