origin_group,year,alpha,beta,h_D,h_A,p_D,p_A,d,I_total,correction_smoothed,correction_capped
Continental Europe,2018,0.0041152482607405005,0.05175369548190112,0.047089044966904026,0.04854843267328324,0.034484722505908394,0.06258621815216614,0.0,9935.941176470587,True,False
Continental Europe,2019,0.0038538491908614025,0.053361503503560836,0.04670578556788274,0.046025697108246,0.028511829327229066,0.05501194872079829,0.0,9935.941176470587,True,False
Continental Europe,2020,0.0035924501209824156,0.05496931152522011,0.046322526168861344,0.04350296154320876,0.022538936148549737,0.047437679289430434,0.0,9935.941176470587,True,False
Continental Europe,2021,0.0033310510511033176,0.056577119546879384,0.04593926676984006,0.040980225978171525,0.01656604296987041,0.03986340985806258,0.0,9935.941176470587,True,False
Continental Europe,2022,0.0030696519812242196,0.05818492756853866,0.04555600737081866,0.03845749041313429,0.010593149791191081,0.03228914042669473,0.0,9935.941176470587,True,False
Continental Europe,2023,0.0028082529113451216,0.05979273559019793,0.04517274797179738,0.03593475484809705,0.004620256612513529,0.024714870995326876,0.0,9935.941176470587,True,False
Continental Europe,2024,0.0025468538414661346,0.06140054361185765,0.04478948857277598,0.03341201928305981,0.0,0.017140601563959024,0.0,9935.941176470587,True,False
Continental Europe,2025,0.0022854547715870366,0.06300835163351692,0.0444062291737547,0.030889283718022575,0.0,0.009566332132591171,0.0,9935.941176470587,True,False
Continental Europe,2026,0.0020240557017079386,0.0646161596551762,0.04402296977473341,0.028366548152985338,0.0,0.0019920627012233183,0.0,9935.941176470587,True,False
Sinic,2017,0.0029598774749317602,0.03305242760627247,0.025929464772427344,0.043386342398344595,0.04453394189692439,0.049500088058891833,0.0,15791.980309220084,True,False
Sinic,2018,0.0025229750630743064,0.03372946940538757,0.025929464772427344,0.043386342398344595,0.03939250246071779,0.03984540004560699,0.0,16543.94141936757,True,False
Sinic,2019,0.0020860726512167416,0.034406511204502666,0.025929464772427344,0.043386342398344595,0.03425106302451297,0.0301907120323186,0.0,17331.706127069356,True,False
Sinic,2020,0.0016491702393592877,0.03508355300361754,0.025929464772427344,0.043386342398344595,0.029109623588306377,0.02053602401903376,0.0,18156.97917154736,True,False
Sinic,2021,0.001212267827501834,0.03576059480273264,0.025929464772427344,0.043386342398344595,0.02396818415209978,0.01088133600574892,0.0,19021.54646084489,True,False
Sinic,2022,0.0007753654156443801,0.036437636601847734,0.025929464772427344,0.043386342398344595,0.018826744715893184,0.0012266479924640805,0.0,19927.278936568815,True,False
Sinic,2023,0.00033846300378681526,0.03711467840096261,0.025929464772427344,0.043386342398344595,0.013685305279686588,0.0,0.0,20876.136622646125,True,False
Sinic,2024,0.0,0.037791720200077705,0.025929464772427344,0.043386342398344595,0.008543865843479992,0.0,0.0,21870.172866856512,True,False
Sinic,2025,0.0,0.0384687619991928,0.025929464772427344,0.043386342398344595,0.0034024264072733956,0.0,0.0,22911.5387843197,True,False
Sinic,2026,0.0,0.03914580379830768,0.025929464772427344,0.043386342398344595,0.0,0.0,0.0,24002.487912553323,True,False
Japanese,2017,0.004305777358956431,0.03707504315767075,0.017190053281778805,0.021563220506251923,0.034928598836135194,0.08030167303685509,1.5745671178880871e-06,1166.4854645601904,True,False
Japanese,2018,0.004027094256184749,0.03707504315767075,0.01647897556660194,0.019306908326065297,0.031099098297939776,0.07566718119429616,0.0,1111.7896416123176,True,False
Japanese,2019,0.003748411153413178,0.03707504315767075,0.01576789785142485,0.01705059614587956,0.027269597759745245,0.07103268935173546,0.0,1059.6562771607246,True,False
Japanese,2020,0.0034697280506414963,0.03707504315767075,0.015056820136247984,0.014794283965692934,0.023440097221549827,0.06639819750917475,0.0,1009.9653219367234,True,False
Japanese,2021,0.0031910449478699254,0.03707504315767075,0.014345742421070895,0.012537971785506308,0.019610596683355297,0.06176370566661582,0.0,962.6023508902953,True,False
Japanese,2022,0.0029123618450982436,0.03707504315767075,0.013634664705894028,0.010281659605319682,0.01578109614515988,0.057129213824055114,0.0,917.4582996996415,True,False
Japanese,2023,0.0026336787423266728,0.03707504315767075,0.01292358699071694,0.008025347425133056,0.01195159560696446,0.052494721981496184,0.0,874.4292136250664,True,False
Japanese,2024,0.002354995639554991,0.03707504315767075,0.012212509275540073,0.005769035244947318,0.00812209506876993,0.04786023013893548,0.0,833.4160081288678,True,False
Japanese,2025,0.002076312536783309,0.03707504315767075,0.011501431560362985,0.003512723064760692,0.004292594530574512,0.04322573829637477,0.0,794.3242407100074,True,False
Japanese,2026,0.0017976294340117382,0.03707504315767075,0.010790353845186118,0.0012564108845740662,0.0004630939923799815,0.03859124645381584,0.0,757.0638934281565,True,False
Hindu,2017,0.008226712242474583,0.03849825405173224,0.03188883412480559,0.05726401801283532,0.08171692434949997,0.05002490736675824,0.0,4716.583789761407,True,False
Hindu,2018,0.008226712242474583,0.03941147667315037,0.0324812379471906,0.05726401801283532,0.08171692434949997,0.03922427455312416,0.0,5454.988933756154,True,False
Hindu,2019,0.008226712242474583,0.04032469929456828,0.033073641769575834,0.05726401801283532,0.08171692434949997,0.028423641739486527,0.0,6308.970648507576,True,False
Hindu,2020,0.008226712242474583,0.041237921915986187,0.03366604559196085,0.05726401801283532,0.08171692434949997,0.017623008925852446,0.0,7296.619197628419,True,False
Hindu,2021,0.008226712242474583,0.042151144537404095,0.03425844941434586,0.05726401801283532,0.08171692434949997,0.006822376112214812,0.0,8438.856367032498,True,False
Hindu,2022,0.008226712242474583,0.043064367158822225,0.034850853236731094,0.05726401801283532,0.08171692434949997,0.0,0.0,9759.878660164635,True,False
Hindu,2023,0.008226712242474583,0.043977589780240134,0.03544325705911611,0.05726401801283532,0.08171692434949997,0.0,0.0,11287.669862986839,True,False
Hindu,2024,0.008226712242474583,0.04489081240165804,0.03603566088150112,0.05726401801283532,0.08171692434949997,0.0,0.0,13054.593836606295,True,False
Hindu,2025,0.008226712242474583,0.04580403502307617,0.036628064703886354,0.05726401801283532,0.08171692434949997,0.0,0.0,15098.080094928333,True,False
Hindu,2026,0.008226712242474583,0.04671725764449408,0.037220468526271366,0.05726401801283532,0.08171692434949997,0.0,0.0,17461.416690217007,True,False
Islamic,2017,0.006720892855895055,0.05111781776081292,0.03326996895558243,0.04337948112734181,0.06973486039139676,0.05602767038974221,0.0,9764.323274646109,True,False
Islamic,2018,0.006091066387464039,0.052698226876793264,0.03416810849292107,0.04337948112734181,0.06698131226932258,0.04652496684293084,0.0,11502.811900541234,True,False
Islamic,2019,0.005461239919033245,0.05427863599277316,0.03506624803025993,0.04337948112734181,0.0642277641472484,0.03702226329611946,0.0,13550.79798160061,True,False
Islamic,2020,0.004831413450602229,0.0558590451087535,0.035964387567598566,0.04337948112734181,0.06147421602517422,0.027519559749308087,0.0,15963.38033948329,True,False
Islamic,2021,0.004201586982171213,0.0574394542247334,0.036862527104937426,0.04337948112734181,0.05872066790310004,0.01801685620249671,0.0,18805.46685921105,True,False
Islamic,2022,0.0035717605137401964,0.05901986334071374,0.037760666642276286,0.04337948112734181,0.055967119781025865,0.008514152655685336,0.0,22153.520764695768,True,False
Islamic,2023,0.0029419340453094023,0.06060027245669364,0.038658806179614924,0.04337948112734181,0.053213571658951686,0.0,0.0,26097.61777800865,True,False
Islamic,2024,0.002312107576878386,0.06218068157267398,0.039556945716953784,0.04337948112734181,0.05046002353687751,0.0,0.0,30743.86950799007,True,False
Islamic,2025,0.0016822811084473699,0.06376109068865388,0.04045508525429242,0.04337948112734181,0.04770647541480333,0.0,0.0,36217.27826681967,True,False
Islamic,2026,0.0010524546400163537,0.06534149980463422,0.04135322479163128,0.04337948112734181,0.04495292729273004,0.0,0.0,42665.10012027784,True,False
Other Western,2017,0.006507814767789499,0.039538684514252465,0.05809915789336784,0.07723494289242358,0.019330666843497823,0.045288571604160666,6.580571404152247e-06,214.37456455441804,True,False
Other Western,2018,0.005728467124576531,0.04039082655392012,0.05809915789336784,0.07723494289242358,0.014013258700920517,0.035306174476680496,0.0,210.37579261970222,True,False
Other Western,2019,0.004949119481363562,0.04124296859358778,0.05809915789336784,0.07723494289242358,0.00869585055834321,0.025323777349200327,0.0,206.45126425696506,True,False
Other Western,2020,0.004169771838150593,0.04209511063325544,0.05809915789336784,0.07723494289242358,0.003378442415765903,0.015341380221720158,0.0,202.5996010160063,True,False
Other Western,2021,0.0033904241949376246,0.0429472526729231,0.05809915789336784,0.07723494289242358,0.0,0.0053589830942399885,0.0,198.81945003974542,True,False
Other Western,2022,0.002611076551724656,0.043799394712590756,0.05809915789336784,0.07723494289242358,0.0,0.0,0.0,195.10948358905344,True,False
Other Western,2023,0.0018317289085116872,0.04465153675225819,0.05809915789336784,0.07723494289242358,0.0,0.0,0.0,191.46839857639364,True,False
Other Western,2024,0.0010523812652987186,0.04550367879192585,0.05809915789336784,0.07723494289242358,0.0,0.0,0.0,187.8949161081214,True,False
Other Western,2025,0.0002730336220857499,0.04635582083159351,0.05809915789336784,0.07723494289242358,0.0,0.0,0.0,184.38778103529432,True,False
Other Western,2026,0.0,0.047207962871261167,0.05809915789336784,0.07723494289242358,0.0,0.0,0.0,180.94576151280987,True,False
Other Civilizations,2017,0.00436501125447597,0.05238742826949805,0.025689159377769187,0.02609565516403789,0.05952686204858715,0.06138382602937398,0.0,4501.022521984269,True,False
Other Civilizations,2018,0.003843740489596792,0.05437399325586023,0.025689159377769187,0.025588965421053045,0.05752196205482818,0.05626684628960987,0.0,4735.930377615773,True,False
Other Civilizations,2019,0.003322469724717614,0.0563605582422233,0.025689159377769187,0.0250822756780682,0.05551706206106921,0.05114986654984577,0.0,4983.095324447423,True,False
Other Civilizations,2020,0.0028011989598386577,0.058347123228585485,0.025689159377769187,0.024575585935083133,0.05351216206731113,0.046032886810081663,0.0,5243.156916589996,True,False
Other Civilizations,2021,0.0022799281949594796,0.06033368821494767,0.025689159377769187,0.024068896192098288,0.05150726207355216,0.04091590707031756,0.0,5516.788078996524,True,False
Other Civilizations,2022,0.0017586574300803015,0.06232025320130985,0.025689159377769187,0.023562206449113443,0.049502362079793194,0.03579892733055523,0.0,5804.696848696517,True,False
Other Civilizations,2023,0.0012373866652011234,0.06430681818767203,0.025689159377769187,0.023055516706128598,0.047497462086034226,0.030681947590791125,0.0,6107.628206883591,True,False
Other Civilizations,2024,0.0007161159003219453,0.06629338317403421,0.025689159377769187,0.022548826963143753,0.045492562092276145,0.02556496785102702,0.0,6426.3660065995,True,False
Other Civilizations,2025,0.00019484513544276716,0.0682799481603964,0.025689159377769187,0.02204213722015891,0.04348766209851718,0.020447988111262916,0.0,6761.735001000632,True,False
Other Civilizations,2026,0.0,0.07026651314675947,0.025689159377769187,0.021535447477174063,0.04148276210475821,0.015331008371498811,0.0,7114.60297745592,True,False
