origin_group,year,alpha,beta,h_D,h_A,p_D,p_A,d,I_total,correction_smoothed,correction_capped
United States,2017,0.006447750268885943,0.04043026944416428,0.03948916377877487,0.03452444230448126,0.035003684707945126,0.047723556176666904,0.0,6099.4172162954455,True,False
United States,2018,0.0062213479822962325,0.04123007970264325,0.038698870054222345,0.032281692105998516,0.029288695947290222,0.039301252132940334,0.0,5939.842203316589,True,False
United States,2019,0.005994945695706466,0.042029889961122446,0.0379085763296696,0.03003894190751666,0.02357370718663354,0.030878948089210212,0.0,5784.441361359911,True,False
United States,2020,0.0057685434091167,0.04282970021960142,0.03711828260511707,0.027796191709033913,0.01785871842597686,0.02245664404548009,0.0,5633.105502254883,True,False
United States,2021,0.005542141122526989,0.04362951047808039,0.03632798888056432,0.025553441510551167,0.012143729665321956,0.01403434000175352,0.0,5485.728293980505,True,False
United States,2022,0.005315738835937223,0.04442932073655936,0.035537695156011795,0.02331069131206931,0.0064287409046652755,0.005612035958023398,0.0,5342.206185954122,True,False
United States,2023,0.005089336549347456,0.04522913099503856,0.034747401431459046,0.021067941113586564,0.0007137521440103711,0.0,0.0,5202.438336274181,True,False
United States,2024,0.004862934262757745,0.04602894125351753,0.0339571077069063,0.018825190915104706,0.0,0.0,0.0,5066.326540866544,True,False
United States,2025,0.004636531976167979,0.0468287515119965,0.03316681398235377,0.01658244071662196,0.0,0.0,0.0,4933.775164484174,True,False
United States,2026,0.004410129689578213,0.047628561770475475,0.03237652025780102,0.014339690518140102,0.0,0.0,0.0,4804.691073511411,True,False
Anglosphere ex-US,2017,0.010574995658764824,0.04385682364653132,0.042316621678258004,0.055882386702573505,0.030070001847668948,0.026482516547432056,0.0,2995.6896518264334,True,False
Anglosphere ex-US,2018,0.01046779194766237,0.04496023731505128,0.041896171386309744,0.05302793405815276,0.023714525444214374,0.011239394010193138,0.0,2925.6925004566942,True,False
Anglosphere ex-US,2019,0.010360588236559914,0.04606365098357079,0.041475721094361484,0.05017348141373201,0.017359049040761576,0.0,0.0,2857.330353631704,True,False
Anglosphere ex-US,2020,0.010253384525457432,0.04716706465209075,0.041055270802413224,0.04731902876931127,0.011003572637308778,0.0,0.0,2790.565020656407,True,False
Anglosphere ex-US,2021,0.010146180814354977,0.04827047832061071,0.040634820510464964,0.04446457612488963,0.004648096233854204,0.0,0.0,2725.3592029000497,True,False
Anglosphere ex-US,2022,0.010038977103252522,0.049373891989130225,0.040214370218516815,0.041610123480468886,0.0,0.0,0.0,2661.6764729592605,True,False
Anglosphere ex-US,2023,0.00993177339215004,0.050477305657650184,0.039793919926568555,0.03875567083604814,0.0,0.0,0.0,2599.4812543076473,True,False
Anglosphere ex-US,2024,0.009824569681047585,0.0515807193261697,0.039373469634620295,0.03590121819162739,0.0,0.0,0.0,2538.7388014210273,True,False
Anglosphere ex-US,2025,0.00971736596994513,0.05268413299468966,0.038953019342672035,0.03304676554720665,0.0,0.0,0.0,2479.4151803666205,True,False
Anglosphere ex-US,2026,0.009610162258842647,0.05378754666320962,0.038532569050723775,0.0301923129027859,0.0,0.0,0.0,2421.4772498458196,True,False
Continental Europe,2017,0.0043766473306195985,0.050145887460241845,0.04747230436592542,0.051071168238320475,0.04045761568458772,0.07016048758353222,0.0,9935.941176470587,True,False
