year,origin_group,destination_group,compartment,count
2013,Sinic,Anglosphere ex-US,P_A,4
2013,Sinic,Continental Europe,P_A,1
2013,Sinic,Islamic,A,1
2013,Sinic,Islamic,H_A,1
2013,Sinic,Japanese,H_A,1
2013,Sinic,Japanese,P_A,1
2013,Sinic,Other Civilizations,P_A,1
2013,Sinic,Sinic,A,1
2013,Sinic,Sinic,H_A,5
2013,Sinic,Sinic,P_A,32
2013,Sinic,United States,A,1
2013,Sinic,United States,P_A,5
2013,Sinic,Unknown,P_A,1
2013,United States,Anglosphere ex-US,H_A,1
2013,United States,Anglosphere ex-US,P_A,8
2013,United States,Continental Europe,A,1
2013,United States,Continental Europe,H_A,2
2013,United States,Continental Europe,P_A,6
2013,United States,Hindu,P_A,7
2013,United States,Islamic,H_A,1
2013,United States,Islamic,P_A,2
2013,United States,Japanese,P_A,4
2013,United States,Other Civilizations,P_A,1
2013,United States,Other Western,A,1
2013,United States,Other Western,H_A,2
2013,United States,Other Western,P_A,6
2013,United States,Sinic,H_A,1
2013,United States,Sinic,P_A,27
2013,United States,United States,A,1
2013,United States,United States,H_A,3
2013,United States,United States,P_A,15
2013,United States,Unknown,A,2
2013,United States,Unknown,H_A,1
2013,United States,Unknown,P_A,5
2014,Anglosphere ex-US,Anglosphere ex-US,H_A,2
2014,Anglosphere ex-US,Anglosphere ex-US,P_A,15
2014,Anglosphere ex-US,Continental Europe,P_A,8
2014,Anglosphere ex-US,Islamic,A,1
2014,Anglosphere ex-US,Islamic,P_A,2
2014,Anglosphere ex-US,Japanese,A,1
2014,Anglosphere ex-US,Japanese,P_A,2
2014,Anglosphere ex-US,Other Civilizations,P_A,4
2014,Anglosphere ex-US,Other Western,P_A,6
2014,Anglosphere ex-US,Sinic,A,1
2014,Anglosphere ex-US,Sinic,P_A,5
2014,Anglosphere ex-US,United States,A,1
2014,Anglosphere ex-US,United States,P_A,9
2014,Anglosphere ex-US,Unknown,H_A,2
2014,Anglosphere ex-US,Unknown,P_A,2
2014,Continental Europe,Anglosphere ex-US,H_A,3
2014,Continental Europe,Anglosphere ex-US,P_A,10
2014,Continental Europe,Continental Europe,A,1
2014,Continental Europe,Continental Europe,H_A,5
2014,Continental Europe,Continental Europe,P_A,36
2014,Continental Europe,Hindu,P_A,2
2014,Continental Europe,Islamic,A,1
2014,Continental Europe,Islamic,P_A,6
2014,Continental Europe,Other Civilizations,P_A,4
2014,Continental Europe,Other Western,H_A,2
2014,Continental Europe,Other Western,P_A,4
2014,Continental Europe,Sinic,H_A,1
2014,Continental Europe,United States,H_A,1
2014,Continental Europe,United States,P_A,11
2014,Continental Europe,Unknown,A,1
2014,Continental Europe,Unknown,P_A,8
2014,Hindu,Continental Europe,P_A,2
2014,Hindu,Hindu,A,2
2014,Hindu,Hindu,P_A,7
2014,Hindu,Sinic,P_A,1
2014,Hindu,United States,H_A,1
2014,Hindu,United States,P_A,3
2014,Hindu,Unknown,P_A,1
2014,Islamic,Anglosphere ex-US,A,1
2014,Islamic,Anglosphere ex-US,H_A,1
2014,Islamic,Anglosphere ex-US,P_A,2
2014,Islamic,Continental Europe,P_A,1
2014,Islamic,Hindu,A,1
2014,Islamic,Hindu,P_A,3
2014,Islamic,Islamic,A,4
2014,Islamic,Islamic,H_A,1
2014,Islamic,Islamic,P_A,9
2014,Islamic,Sinic,P_A,1
2014,Islamic,United States,A,1
2014,Islamic,Unknown,A,1
2014,Islamic,Unknown,P_A,1
2014,Japanese,Anglosphere ex-US,P_A,1
2014,Japanese,Islamic,P_A,1
2014,Japanese,Japanese,A,1
2014,Japanese,Japanese,P_A,9
2014,Japanese,Other Civilizations,P_A,1
2014,Japanese,Sinic,H_A,2
2014,Japanese,Sinic,P_A,3
2014,Japanese,United States,P_A,1
2014,Japanese,Unknown,A,1
2014,Japanese,Unknown,P_A,4
2014,Other Civilizations,Anglosphere ex-US,P_A,2
2014,Other Civilizations,Continental Europe,P_A,2
2014,Other Civilizations,Japanese,P_A,2
2014,Other Civilizations,Other Civilizations,H_A,2
2014,Other Civilizations,Other Civilizations,P_A,12
2014,Other Civilizations,United States,A,1
2014,Other Civilizations,United States,P_A,2
2014,Other Civilizations,Unknown,A,2
2014,Other Civilizations,Unknown,P_A,3
2014,Other Western,Anglosphere ex-US,P_A,1
2014,Other Western,Continental Europe,H_A,1
2014,Other Western,Continental Europe,P_A,1
2014,Other Western,Other Western,H_A,5
2014,Other Western,Other Western,P_A,12
2014,Other Western,United States,A,1
2014,Other Western,Unknown,A,1
2014,Other Western,Unknown,P_A,2
2014,Sinic,Anglosphere ex-US,P_A,4
2014,Sinic,Continental Europe,P_A,3
2014,Sinic,Islamic,A,1
2014,Sinic,Islamic,H_A,1
2014,Sinic,Japanese,H_A,1
2014,Sinic,Japanese,P_A,1
2014,Sinic,Other Civilizations,P_A,1
2014,Sinic,Sinic,A,1
2014,Sinic,Sinic,H_A,5
2014,Sinic,Sinic,P_A,33
2014,Sinic,United States,P_A,6
2014,Sinic,Unknown,P_A,1
2014,United States,Anglosphere ex-US,H_A,1
2014,United States,Anglosphere ex-US,P_A,8
2014,United States,Continental Europe,A,1
2014,United States,Continental Europe,H_A,1
2014,United States,Continental Europe,P_A,7
2014,United States,Hindu,P_A,6
2014,United States,Islamic,H_A,1
2014,United States,Islamic,P_A,2
2014,United States,Japanese,P_A,5
2014,United States,Other Civilizations,P_A,1
2014,United States,Other Western,A,1
2014,United States,Other Western,H_A,1
2014,United States,Other Western,P_A,10
2014,United States,Sinic,H_A,1
2014,United States,Sinic,P_A,27
2014,United States,United States,A,1
2014,United States,United States,H_A,4
2014,United States,United States,P_A,17
2014,United States,Unknown,A,1
2014,United States,Unknown,H_A,2
2014,United States,Unknown,P_A,5
2015,Anglosphere ex-US,Anglosphere ex-US,H_A,2
2015,Anglosphere ex-US,Anglosphere ex-US,P_A,16
2015,Anglosphere ex-US,Continental Europe,P_A,10
2015,Anglosphere ex-US,Hindu,P_A,1
2015,Anglosphere ex-US,Islamic,P_A,3
2015,Anglosphere ex-US,Japanese,A,1
2015,Anglosphere ex-US,Japanese,P_A,2
2015,Anglosphere ex-US,Other Civilizations,P_A,4
2015,Anglosphere ex-US,Other Western,P_A,7
2015,Anglosphere ex-US,Sinic,A,1
2015,Anglosphere ex-US,Sinic,P_A,6
2015,Anglosphere ex-US,United States,P_A,10
2015,Anglosphere ex-US,Unknown,A,1
2015,Anglosphere ex-US,Unknown,H_A,1
2015,Anglosphere ex-US,Unknown,P_A,3
2015,Continental Europe,Anglosphere ex-US,H_A,2
2015,Continental Europe,Anglosphere ex-US,P_A,11
2015,Continental Europe,Continental Europe,A,2
2015,Continental Europe,Continental Europe,H_A,4
2015,Continental Europe,Continental Europe,P_A,33
2015,Continental Europe,Hindu,P_A,2
2015,Continental Europe,Islamic,A,1
2015,Continental Europe,Islamic,P_A,6
2015,Continental Europe,Other Civilizations,P_A,4
2015,Continental Europe,Other Western,H_A,2
2015,Continental Europe,Other Western,P_A,4
2015,Continental Europe,Sinic,H_A,3
2015,Continental Europe,Sinic,P_A,1
2015,Continental Europe,United States,A,1
2015,Continental Europe,United States,H_A,2
2015,Continental Europe,United States,P_A,10
2015,Continental Europe,Unknown,A,1
2015,Continental Europe,Unknown,P_A,9
2015,Hindu,Continental Europe,P_A,2
2015,Hindu,Hindu,A,3
2015,Hindu,Hindu,P_A,7
2015,Hindu,Sinic,P_A,1
2015,Hindu,United States,H_A,1
2015,Hindu,United States,P_A,3
2015,Hindu,Unknown,P_A,1
2015,Islamic,Anglosphere ex-US,A,1
2015,Islamic,Anglosphere ex-US,H_A,1
2015,Islamic,Anglosphere ex-US,P_A,2
2015,Islamic,Continental Europe,P_A,1
2015,Islamic,Hindu,A,1
2015,Islamic,Hindu,P_A,3
2015,Islamic,Islamic,A,3
2015,Islamic,Islamic,H_A,3
2015,Islamic,Islamic,P_A,11
2015,Islamic,Sinic,H_A,1
2015,Islamic,Sinic,P_A,1
2015,Islamic,United States,A,1
2015,Islamic,United States,P_A,1
2015,Islamic,Unknown,A,1
2015,Japanese,Anglosphere ex-US,P_A,1
2015,Japanese,Islamic,P_A,1
2015,Japanese,Japanese,A,1
2015,Japanese,Japanese,P_A,8
2015,Japanese,Other Civilizations,P_A,1
2015,Japanese,Sinic,H_A,1
2015,Japanese,Sinic,P_A,2
2015,Japanese,United States,P_A,1
2015,Japanese,Unknown,A,1
2015,Japanese,Unknown,H_A,1
2015,Japanese,Unknown,P_A,3
2015,Other Civilizations,Anglosphere ex-US,A,1
2015,Other Civilizations,Anglosphere ex-US,P_A,2
2015,Other Civilizations,Continental Europe,P_A,2
2015,Other Civilizations,Japanese,P_A,2
2015,Other Civilizations,Other Civilizations,A,1
2015,Other Civilizations,Other Civilizations,H_A,2
2015,Other Civilizations,Other Civilizations,P_A,14
2015,Other Civilizations,United States,A,1
2015,Other Civilizations,United States,P_A,2
2015,Other Civilizations,Unknown,A,1
2015,Other Civilizations,Unknown,P_A,2
2015,Other Western,Anglosphere ex-US,P_A,1
2015,Other Western,Continental Europe,H_A,1
2015,Other Western,Continental Europe,P_A,1
2015,Other Western,Other Western,H_A,7
2015,Other Western,Other Western,P_A,14
2015,Other Western,United States,A,1
2015,Other Western,Unknown,H_A,1
2015,Other Western,Unknown,P_A,2
2015,Sinic,Anglosphere ex-US,A,1
2015,Sinic,Anglosphere ex-US,P_A,5
2015,Sinic,Continental Europe,P_A,2
2015,Sinic,Islamic,A,1
2015,Sinic,Islamic,H_A,1
2015,Sinic,Japanese,H_A,1
2015,Sinic,Japanese,P_A,1
2015,Sinic,Other Civilizations,P_A,1
2015,Sinic,Sinic,A,1
2015,Sinic,Sinic,H_A,4
2015,Sinic,Sinic,P_A,38
2015,Sinic,United States,H_A,1
2015,Sinic,United States,P_A,7
2015,Sinic,Unknown,A,1
2015,Sinic,Unknown,P_A,2
2015,United States,Anglosphere ex-US,H_A,1
2015,United States,Anglosphere ex-US,P_A,8
2015,United States,Continental Europe,A,1
2015,United States,Continental Europe,H_A,2
2015,United States,Continental Europe,P_A,7
2015,United States,Hindu,P_A,6
2015,United States,Islamic,H_A,1
2015,United States,Islamic,P_A,2
2015,United States,Japanese,P_A,5
2015,United States,Other Civilizations,H_A,1
2015,United States,Other Civilizations,P_A,1
2015,United States,Other Western,A,1
2015,United States,Other Western,H_A,1
2015,United States,Other Western,P_A,8
2015,United States,Sinic,H_A,1
2015,United States,Sinic,P_A,27
2015,United States,United States,A,1
2015,United States,United States,H_A,5
2015,United States,United States,P_A,15
2015,United States,Unknown,A,1
2015,United States,Unknown,H_A,1
2015,United States,Unknown,P_A,6
2016,Anglosphere ex-US,Anglosphere ex-US,P_A,16
2016,Anglosphere ex-US,Continental Europe,P_A,10
2016,Anglosphere ex-US,Islamic,P_A,3
2016,Anglosphere ex-US,Japanese,A,1
2016,Anglosphere ex-US,Japanese,P_A,2
2016,Anglosphere ex-US,Other Civilizations,P_A,4
2016,Anglosphere ex-US,Other Western,P_A,7
2016,Anglosphere ex-US,Sinic,A,1
2016,Anglosphere ex-US,Sinic,P_A,6
2016,Anglosphere ex-US,United States,P_A,11
2016,Anglosphere ex-US,Unknown,P_A,3
2016,Continental Europe,Anglosphere ex-US,H_A,2
2016,Continental Europe,Anglosphere ex-US,P_A,11
2016,Continental Europe,Continental Europe,A,1
2016,Continental Europe,Continental Europe,H_A,4
2016,Continental Europe,Continental Europe,P_A,39
2016,Continental Europe,Hindu,P_A,2
2016,Continental Europe,Islamic,A,1
2016,Continental Europe,Islamic,P_A,6
2016,Continental Europe,Other Civilizations,P_A,4
2016,Continental Europe,Other Western,P_A,6
2016,Continental Europe,Sinic,H_A,2
2016,Continental Europe,Sinic,P_A,3
2016,Continental Europe,United States,A,1
2016,Continental Europe,United States,H_A,2
2016,Continental Europe,United States,P_A,11
2016,Continental Europe,Unknown,A,1
2016,Continental Europe,Unknown,H_A,3
2016,Continental Europe,Unknown,P_A,9
2016,Hindu,Continental Europe,P_A,1
2016,Hindu,Hindu,A,1
2016,Hindu,Hindu,H_A,2
2016,Hindu,Hindu,P_A,7
2016,Hindu,Sinic,P_A,1
2016,Hindu,United States,H_A,1
2016,Hindu,United States,P_A,1
2016,Hindu,Unknown,P_A,1
2016,Islamic,Anglosphere ex-US,H_A,3
2016,Islamic,Anglosphere ex-US,P_A,2
2016,Islamic,Continental Europe,P_A,1
2016,Islamic,Hindu,P_A,4
2016,Islamic,Islamic,A,2
2016,Islamic,Islamic,H_A,2
2016,Islamic,Islamic,P_A,13
2016,Islamic,Sinic,H_A,1
2016,Islamic,Sinic,P_A,1
2016,Islamic,United States,A,1
2016,Islamic,United States,P_A,1
2016,Islamic,Unknown,A,2
2016,Japanese,Anglosphere ex-US,P_A,1
2016,Japanese,Islamic,P_A,1
2016,Japanese,Japanese,A,1
2016,Japanese,Japanese,P_A,9
2016,Japanese,Other Civilizations,P_A,2
2016,Japanese,Sinic,H_A,1
2016,Japanese,Sinic,P_A,3
2016,Japanese,United States,P_A,1
2016,Japanese,Unknown,A,1
2016,Japanese,Unknown,H_A,1
2016,Japanese,Unknown,P_A,3
2016,Other Civilizations,Anglosphere ex-US,A,1
2016,Other Civilizations,Anglosphere ex-US,P_A,2
2016,Other Civilizations,Continental Europe,P_A,2
2016,Other Civilizations,Japanese,P_A,2
2016,Other Civilizations,Other Civilizations,H_A,2
2016,Other Civilizations,Other Civilizations,P_A,11
2016,Other Civilizations,United States,A,2
2016,Other Civilizations,United States,P_A,2
2016,Other Civilizations,Unknown,A,2
2016,Other Civilizations,Unknown,P_A,1
2016,Other Western,Anglosphere ex-US,P_A,1
2016,Other Western,Continental Europe,H_A,1
2016,Other Western,Continental Europe,P_A,1
2016,Other Western,Other Western,H_A,7
2016,Other Western,Other Western,P_A,12
2016,Other Western,Unknown,H_A,1
2016,Other Western,Unknown,P_A,2
2016,Sinic,Anglosphere ex-US,A,1
2016,Sinic,Anglosphere ex-US,P_A,5
2016,Sinic,Continental Europe,P_A,2
2016,Sinic,Islamic,A,1
2016,Sinic,Islamic,H_A,1
2016,Sinic,Islamic,P_A,1
2016,Sinic,Japanese,P_A,2
2016,Sinic,Other Civilizations,P_A,1
2016,Sinic,Sinic,A,1
2016,Sinic,Sinic,H_A,6
2016,Sinic,Sinic,P_A,36
2016,Sinic,United States,H_A,1
2016,Sinic,United States,P_A,9
2016,Sinic,Unknown,P_A,1
2016,United States,Anglosphere ex-US,A,1
2016,United States,Anglosphere ex-US,H_A,1
2016,United States,Anglosphere ex-US,P_A,8
2016,United States,Continental Europe,A,1
2016,United States,Continental Europe,H_A,1
2016,United States,Continental Europe,P_A,8
2016,United States,Hindu,P_A,9
2016,United States,Islamic,A,1
2016,United States,Islamic,H_A,1
2016,United States,Islamic,P_A,3
2016,United States,Japanese,P_A,5
2016,United States,Other Civilizations,P_A,2
2016,United States,Other Western,A,1
2016,United States,Other Western,H_A,1
2016,United States,Other Western,P_A,9
2016,United States,Sinic,H_A,1
2016,United States,Sinic,P_A,27
2016,United States,United States,A,3
2016,United States,United States,H_A,4
2016,United States,United States,P_A,15
2016,United States,Unknown,A,1
2016,United States,Unknown,H_A,1
2016,United States,Unknown,P_A,6
2017,Anglosphere ex-US,Anglosphere ex-US,A,1
2017,Anglosphere ex-US,Anglosphere ex-US,P_A,14
2017,Anglosphere ex-US,Continental Europe,P_A,10
2017,Anglosphere ex-US,Islamic,H_A,1
2017,Anglosphere ex-US,Islamic,P_A,3
2017,Anglosphere ex-US,Japanese,A,1
2017,Anglosphere ex-US,Japanese,P_A,2
2017,Anglosphere ex-US,Other Civilizations,P_A,4
2017,Anglosphere ex-US,Other Western,P_A,7
2017,Anglosphere ex-US,Sinic,A,1
2017,Anglosphere ex-US,Sinic,P_A,6
2017,Anglosphere ex-US,United States,A,1
2017,Anglosphere ex-US,United States,P_A,12
2017,Anglosphere ex-US,Unknown,P_A,2
2017,Continental Europe,Anglosphere ex-US,H_A,2
2017,Continental Europe,Anglosphere ex-US,P_A,11
2017,Continental Europe,Continental Europe,A,1
2017,Continental Europe,Continental Europe,H_A,3
2017,Continental Europe,Continental Europe,P_A,40
2017,Continental Europe,Hindu,P_A,2
2017,Continental Europe,Islamic,A,1
2017,Continental Europe,Islamic,P_A,5
2017,Continental Europe,Other Civilizations,P_A,4
2017,Continental Europe,Other Western,P_A,6
2017,Continental Europe,Sinic,H_A,2
2017,Continental Europe,Sinic,P_A,2
2017,Continental Europe,United States,A,1
2017,Continental Europe,United States,H_A,2
2017,Continental Europe,United States,P_A,12
2017,Continental Europe,Unknown,A,1
2017,Continental Europe,Unknown,H_A,2
2017,Continental Europe,Unknown,P_A,9
2017,Hindu,Anglosphere ex-US,H_A,1
2017,Hindu,Continental Europe,P_A,2
2017,Hindu,Hindu,A,3
2017,Hindu,Hindu,H_A,1
2017,Hindu,Hindu,P_A,8
2017,Hindu,Sinic,P_A,1
2017,Hindu,United States,A,1
2017,Hindu,United States,H_A,1
2017,Hindu,United States,P_A,3
2017,Hindu,Unknown,P_A,1
2017,Islamic,Anglosphere ex-US,H_A,5
2017,Islamic,Anglosphere ex-US,P_A,2
2017,Islamic,Continental Europe,P_A,1
2017,Islamic,Hindu,P_A,4
2017,Islamic,Islamic,A,1
2017,Islamic,Islamic,H_A,3
2017,Islamic,Islamic,P_A,12
2017,Islamic,Sinic,H_A,1
2017,Islamic,Sinic,P_A,1
2017,Islamic,United States,A,1
2017,Islamic,United States,P_A,1
2017,Islamic,Unknown,A,1
2017,Japanese,Anglosphere ex-US,H_A,1
2017,Japanese,Anglosphere ex-US,P_A,1
2017,Japanese,Islamic,P_A,1
2017,Japanese,Japanese,H_A,1
2017,Japanese,Japanese,P_A,9
2017,Japanese,Other Civilizations,P_A,2
2017,Japanese,Sinic,H_A,1
2017,Japanese,Sinic,P_A,3
2017,Japanese,United States,P_A,1
2017,Japanese,Unknown,A,2
2017,Japanese,Unknown,H_A,1
2017,Japanese,Unknown,P_A,3
2017,Other Civilizations,Anglosphere ex-US,P_A,3
2017,Other Civilizations,Continental Europe,P_A,2
2017,Other Civilizations,Japanese,P_A,2
2017,Other Civilizations,Other Civilizations,H_A,2
2017,Other Civilizations,Other Civilizations,P_A,10
2017,Other Civilizations,United States,A,2
2017,Other Civilizations,United States,P_A,2
2017,Other Civilizations,Unknown,A,1
2017,Other Civilizations,Unknown,H_A,1
2017,Other Civilizations,Unknown,P_A,1
2017,Other Western,Anglosphere ex-US,P_A,1
2017,Other Western,Continental Europe,H_A,1
2017,Other Western,Continental Europe,P_A,1
2017,Other Western,Other Western,A,1
2017,Other Western,Other Western,H_A,4
2017,Other Western,Other Western,P_A,16
2017,Other Western,United States,P_A,1
2017,Other Western,Unknown,P_A,2
2017,Sinic,Anglosphere ex-US,A,1
2017,Sinic,Anglosphere ex-US,P_A,7
2017,Sinic,Continental Europe,P_A,2
2017,Sinic,Islamic,A,1
2017,Sinic,Islamic,P_A,2
2017,Sinic,Japanese,P_A,2
2017,Sinic,Other Civilizations,P_A,1
2017,Sinic,Sinic,A,1
2017,Sinic,Sinic,H_A,8
2017,Sinic,Sinic,P_A,36
2017,Sinic,United States,P_A,11
2017,Sinic,Unknown,P_A,1
2017,United States,Anglosphere ex-US,A,1
2017,United States,Anglosphere ex-US,H_A,1
2017,United States,Anglosphere ex-US,P_A,8
2017,United States,Continental Europe,A,1
2017,United States,Continental Europe,H_A,1
2017,United States,Continental Europe,P_A,8
2017,United States,Hindu,P_A,7
2017,United States,Islamic,A,1
2017,United States,Islamic,H_A,1
2017,United States,Islamic,P_A,3
2017,United States,Japanese,P_A,5
2017,United States,Other Civilizations,P_A,2
2017,United States,Other Western,A,1
2017,United States,Other Western,H_A,1
2017,United States,Other Western,P_A,9
2017,United States,Sinic,H_A,1
2017,United States,Sinic,P_A,27
2017,United States,United States,A,3
2017,United States,United States,H_A,3
2017,United States,United States,P_A,20
2017,United States,Unknown,A,1
2017,United States,Unknown,H_A,2
2017,United States,Unknown,P_A,6
2018,Anglosphere ex-US,Anglosphere ex-US,H_A,2
2018,Anglosphere ex-US,Anglosphere ex-US,P_A,14
2018,Anglosphere ex-US,Continental Europe,P_A,10
2018,Anglosphere ex-US,Hindu,P_A,1
2018,Anglosphere ex-US,Islamic,H_A,1
2018,Anglosphere ex-US,Islamic,P_A,3
2018,Anglosphere ex-US,Japanese,A,1
2018,Anglosphere ex-US,Japanese,P_A,2
2018,Anglosphere ex-US,Other Civilizations,P_A,4
2018,Anglosphere ex-US,Other Western,P_A,7
2018,Anglosphere ex-US,Sinic,P_A,7
2018,Anglosphere ex-US,United States,H_A,2
2018,Anglosphere ex-US,United States,P_A,12
2018,Anglosphere ex-US,Unknown,P_A,2
2018,Continental Europe,Anglosphere ex-US,H_A,3
2018,Continental Europe,Anglosphere ex-US,P_A,12
2018,Continental Europe,Continental Europe,H_A,5
2018,Continental Europe,Continental Europe,P_A,43
2018,Continental Europe,Hindu,P_A,3
2018,Continental Europe,Islamic,P_A,7
2018,Continental Europe,Other Civilizations,P_A,4
2018,Continental Europe,Other Western,P_A,6
2018,Continental Europe,Sinic,H_A,2
2018,Continental Europe,Sinic,P_A,2
2018,Continental Europe,United States,H_A,3
2018,Continental Europe,United States,P_A,12
2018,Continental Europe,Unknown,A,1
2018,Continental Europe,Unknown,H_A,2
2018,Continental Europe,Unknown,P_A,5
2018,Hindu,Anglosphere ex-US,H_A,1
2018,Hindu,Continental Europe,P_A,2
2018,Hindu,Hindu,A,2
2018,Hindu,Hindu,H_A,3
2018,Hindu,Hindu,P_A,8
2018,Hindu,Sinic,P_A,1
2018,Hindu,United States,A,2
2018,Hindu,United States,H_A,2
2018,Hindu,United States,P_A,4
2018,Hindu,Unknown,P_A,1
2018,Islamic,Anglosphere ex-US,H_A,4
2018,Islamic,Anglosphere ex-US,P_A,3
2018,Islamic,Continental Europe,P_A,1
2018,Islamic,Hindu,P_A,4
2018,Islamic,Islamic,A,1
2018,Islamic,Islamic,H_A,3
2018,Islamic,Islamic,P_A,12
2018,Islamic,Sinic,H_A,1
2018,Islamic,Sinic,P_A,1
2018,Islamic,United States,A,1
2018,Islamic,United States,P_A,1
2018,Islamic,Unknown,A,1
2018,Japanese,Anglosphere ex-US,P_A,1
2018,Japanese,Islamic,P_A,1
2018,Japanese,Japanese,A,1
2018,Japanese,Japanese,P_A,7
2018,Japanese,Other Civilizations,P_A,2
2018,Japanese,Other Western,P_A,1
2018,Japanese,Sinic,H_A,1
2018,Japanese,Sinic,P_A,4
2018,Japanese,United States,P_A,1
2018,Japanese,Unknown,A,2
2018,Japanese,Unknown,H_A,1
2018,Japanese,Unknown,P_A,3
2018,Other Civilizations,Anglosphere ex-US,P_A,3
2018,Other Civilizations,Continental Europe,P_A,2
2018,Other Civilizations,Japanese,P_A,2
2018,Other Civilizations,Other Civilizations,H_A,2
2018,Other Civilizations,Other Civilizations,P_A,12
2018,Other Civilizations,Sinic,P_A,1
2018,Other Civilizations,United States,A,2
2018,Other Civilizations,United States,P_A,2
2018,Other Civilizations,Unknown,A,1
2018,Other Civilizations,Unknown,H_A,1
2018,Other Civilizations,Unknown,P_A,1
2018,Other Western,Anglosphere ex-US,P_A,1
2018,Other Western,Continental Europe,H_A,1
2018,Other Western,Continental Europe,P_A,1
2018,Other Western,Hindu,P_A,1
2018,Other Western,Other Western,H_A,2
2018,Other Western,Other Western,P_A,23
2018,Other Western,United States,P_A,1
2018,Other Western,Unknown,P_A,1
2018,Sinic,Anglosphere ex-US,H_A,1
2018,Sinic,Anglosphere ex-US,P_A,6
2018,Sinic,Continental Europe,P_A,2
2018,Sinic,Islamic,A,1
2018,Sinic,Islamic,P_A,4
2018,Sinic,Japanese,P_A,3
2018,Sinic,Sinic,A,1
2018,Sinic,Sinic,H_A,7
2018,Sinic,Sinic,P_A,36
2018,Sinic,United States,P_A,11
2018,Sinic,Unknown,P_A,1
2018,United States,Anglosphere ex-US,H_A,2
2018,United States,Anglosphere ex-US,P_A,9
2018,United States,Continental Europe,A,1
2018,United States,Continental Europe,P_A,10
2018,United States,Hindu,P_A,7
2018,United States,Islamic,A,1
2018,United States,Islamic,H_A,1
2018,United States,Islamic,P_A,4
2018,United States,Japanese,P_A,5
2018,United States,Other Civilizations,P_A,2
2018,United States,Other Western,A,1
2018,United States,Other Western,H_A,1
2018,United States,Other Western,P_A,9
2018,United States,Sinic,A,1
2018,United States,Sinic,P_A,29
2018,United States,United States,A,1
2018,United States,United States,H_A,5
2018,United States,United States,P_A,23
2018,United States,Unknown,A,2
2018,United States,Unknown,H_A,3
2018,United States,Unknown,P_A,5
2019,Anglosphere ex-US,Anglosphere ex-US,H_A,3
2019,Anglosphere ex-US,Anglosphere ex-US,P_A,14
2019,Anglosphere ex-US,Continental Europe,P_A,10
2019,Anglosphere ex-US,Hindu,P_A,1
2019,Anglosphere ex-US,Islamic,P_A,5
2019,Anglosphere ex-US,Japanese,A,1
2019,Anglosphere ex-US,Japanese,P_A,2
2019,Anglosphere ex-US,Other Civilizations,P_A,4
2019,Anglosphere ex-US,Other Western,P_A,7
2019,Anglosphere ex-US,Sinic,H_A,1
2019,Anglosphere ex-US,Sinic,P_A,6
2019,Anglosphere ex-US,United States,H_A,1
2019,Anglosphere ex-US,United States,P_A,15
2019,Anglosphere ex-US,Unknown,P_A,2
2019,Continental Europe,Anglosphere ex-US,H_A,4
2019,Continental Europe,Anglosphere ex-US,P_A,12
2019,Continental Europe,Continental Europe,A,1
2019,Continental Europe,Continental Europe,H_A,2
2019,Continental Europe,Continental Europe,P_A,41
2019,Continental Europe,Hindu,P_A,3
2019,Continental Europe,Islamic,P_A,8
2019,Continental Europe,Other Civilizations,P_A,4
2019,Continental Europe,Other Western,P_A,6
2019,Continental Europe,Sinic,H_A,2
2019,Continental Europe,Sinic,P_A,2
2019,Continental Europe,United States,H_A,2
2019,Continental Europe,United States,P_A,13
2019,Continental Europe,Unknown,A,1
2019,Continental Europe,Unknown,H_A,2
2019,Continental Europe,Unknown,P_A,4
2019,Hindu,Anglosphere ex-US,H_A,1
2019,Hindu,Continental Europe,P_A,2
2019,Hindu,Hindu,A,2
2019,Hindu,Hindu,H_A,1
2019,Hindu,Hindu,P_A,9
2019,Hindu,Sinic,P_A,1
2019,Hindu,United States,A,1
2019,Hindu,United States,H_A,3
2019,Hindu,United States,P_A,3
2019,Hindu,Unknown,P_A,1
2019,Islamic,Anglosphere ex-US,A,1
2019,Islamic,Anglosphere ex-US,H_A,4
2019,Islamic,Anglosphere ex-US,P_A,5
2019,Islamic,Continental Europe,P_A,1
2019,Islamic,Hindu,P_A,4
2019,Islamic,Islamic,A,1
2019,Islamic,Islamic,H_A,2
2019,Islamic,Islamic,P_A,14
2019,Islamic,Other Western,P_A,1
2019,Islamic,Sinic,H_A,1
2019,Islamic,Sinic,P_A,1
2019,Islamic,United States,P_A,2
2019,Japanese,Anglosphere ex-US,A,1
2019,Japanese,Anglosphere ex-US,H_A,1
2019,Japanese,Anglosphere ex-US,P_A,1
2019,Japanese,Islamic,P_A,1
2019,Japanese,Japanese,A,1
2019,Japanese,Japanese,P_A,7
2019,Japanese,Other Civilizations,P_A,2
2019,Japanese,Sinic,H_A,1
2019,Japanese,Sinic,P_A,3
2019,Japanese,United States,P_A,1
2019,Japanese,Unknown,A,1
2019,Japanese,Unknown,H_A,2
2019,Japanese,Unknown,P_A,2
2019,Other Civilizations,Anglosphere ex-US,P_A,3
2019,Other Civilizations,Continental Europe,P_A,2
2019,Other Civilizations,Japanese,P_A,2
2019,Other Civilizations,Other Civilizations,H_A,1
2019,Other Civilizations,Other Civilizations,P_A,13
2019,Other Civilizations,Other Western,P_A,1
2019,Other Civilizations,Sinic,P_A,1
2019,Other Civilizations,United States,A,2
