origin_group,year,from,to,count
Continental Europe,2000,D,D,2
Continental Europe,2000,H_D,H_D,1
Continental Europe,2001,D,D,3
Continental Europe,2001,D,H_D,1
Continental Europe,2001,H_D,H_D,3
Continental Europe,2002,D,D,8
Continental Europe,2002,D,H_D,2
Continental Europe,2002,H_D,H_D,4
Continental Europe,2003,A,D,1
Continental Europe,2003,D,D,9
Continental Europe,2003,D,H_D,1
Continental Europe,2003,H_D,H_D,7
Continental Europe,2003,H_D,P_D,1
Continental Europe,2004,D,D,11
Continental Europe,2004,H_D,H_A,1
Continental Europe,2004,H_D,H_D,8
Continental Europe,2004,P_D,P_D,1
Continental Europe,2005,D,D,12
Continental Europe,2005,D,H_D,2
Continental Europe,2005,H_A,H_A,1
Continental Europe,2005,H_D,H_D,7
Continental Europe,2005,H_D,P_D,1
Continental Europe,2005,P_D,P_D,1
Continental Europe,2006,D,D,12
Continental Europe,2006,D,H_D,5
Continental Europe,2006,H_D,H_D,9
Continental Europe,2006,P_D,P_D,2
Continental Europe,2007,D,A,1
Continental Europe,2007,D,D,9
Continental Europe,2007,D,H_D,3
Continental Europe,2007,H_D,H_D,14
Continental Europe,2007,P_D,P_D,2
Continental Europe,2008,A,A,1
Continental Europe,2008,D,D,10
Continental Europe,2008,H_D,H_D,18
Continental Europe,2008,P_D,P_D,2
Continental Europe,2009,A,A,1
Continental Europe,2009,D,D,9
Continental Europe,2009,D,H_D,3
Continental Europe,2009,H_D,H_D,20
Continental Europe,2009,H_D,P_D,1
Continental Europe,2009,P_D,P_D,2
Continental Europe,2010,A,A,1
Continental Europe,2010,D,D,10
Continental Europe,2010,H_D,H_D,21
Continental Europe,2010,H_D,P_D,2
Continental Europe,2010,P_D,P_D,3
Continental Europe,2011,A,A,1
Continental Europe,2011,D,D,10
Continental Europe,2011,D,H_D,3
Continental Europe,2011,H_D,H_A,2
Continental Europe,2011,H_D,H_D,18
Continental Europe,2011,H_D,P_D,1
Continental Europe,2011,P_D,P_D,5
Continental Europe,2012,A,A,2
Continental Europe,2012,D,D,10
Continental Europe,2012,D,H_D,1
Continental Europe,2012,H_A,H_A,2
Continental Europe,2012,H_D,H_D,20
Continental Europe,2012,H_D,P_D,3
Continental Europe,2012,P_D,P_D,6
Continental Europe,2013,A,A,1
Continental Europe,2013,A,P_A,1
Continental Europe,2013,D,D,9
Continental Europe,2013,D,H_D,2
Continental Europe,2013,H_A,H_A,2
Continental Europe,2013,H_D,H_D,20
Continental Europe,2013,H_D,P_D,2
Continental Europe,2013,P_D,P_D,9
Continental Europe,2014,A,A,1
Continental Europe,2014,D,D,9
Continental Europe,2014,H_A,H_A,2
Continental Europe,2014,H_D,H_D,22
Continental Europe,2014,H_D,P_D,1
Continental Europe,2014,P_A,P_A,1
Continental Europe,2014,P_D,P_D,11
Continental Europe,2015,A,A,1
Continental Europe,2015,D,D,9
Continental Europe,2015,H_A,H_A,2
Continental Europe,2015,H_D,H_D,22
Continental Europe,2015,P_A,P_A,1
Continental Europe,2015,P_D,P_D,12
Continental Europe,2016,A,A,1
Continental Europe,2016,D,D,10
Continental Europe,2016,H_A,H_A,2
Continental Europe,2016,H_D,H_D,20
Continental Europe,2016,H_D,P_D,2
Continental Europe,2016,P_A,P_A,1
Continental Europe,2016,P_D,P_D,11
Continental Europe,2017,A,A,1
Continental Europe,2017,D,D,10
Continental Europe,2017,H_A,H_A,2
Continental Europe,2017,H_D,H_A,1
Continental Europe,2017,H_D,H_D,19
Continental Europe,2017,P_A,P_A,1
Continental Europe,2017,P_D,P_D,13
Continental Europe,2018,A,A,1
Continental Europe,2018,D,D,7
Continental Europe,2018,D,H_A,1
Continental Europe,2018,D,H_D,2
Continental Europe,2018,H_A,H_A,3
Continental Europe,2018,H_D,H_D,18
Continental Europe,2018,P_A,P_A,1
Continental Europe,2018,P_D,P_D,13
Continental Europe,2019,A,A,1
Continental Europe,2019,D,D,7
Continental Europe,2019,H_A,H_A,3
Continental Europe,2019,H_A,P_A,1
Continental Europe,2019,H_D,H_D,19
Continental Europe,2019,H_D,P_D,1
Continental Europe,2019,P_A,P_A,1
Continental Europe,2019,P_D,P_A,2
Continental Europe,2019,P_D,P_D,11
Continental Europe,2020,A,A,1
Continental Europe,2020,D,D,7
Continental Europe,2020,H_A,H_A,2
Continental Europe,2020,H_A,P_A,1
Continental Europe,2020,H_D,H_A,1
Continental Europe,2020,H_D,H_D,17
Continental Europe,2020,H_D,P_D,1
Continental Europe,2020,P_A,P_A,4
Continental Europe,2020,P_D,P_D,12
Continental Europe,2021,A,A,1
Continental Europe,2021,D,D,7
Continental Europe,2021,H_A,H_A,3
Continental Europe,2021,H_D,H_D,17
Continental Europe,2021,P_A,P_A,5
Continental Europe,2021,P_D,P_D,13
Continental Europe,2022,A,A,1
Continental Europe,2022,D,D,7
Continental Europe,2022,H_A,H_A,3
Continental Europe,2022,H_D,H_A,1
Continental Europe,2022,H_D,H_D,15
Continental Europe,2022,H_D,P_D,1
Continental Europe,2022,P_A,P_A,5
Continental Europe,2022,P_D,P_A,1
Continental Europe,2022,P_D,P_D,12
Hindu,2000,D,D,2
