origin_group,year,from,to,count
Sinic,2016,D,D,12
Sinic,2016,H_A,H_A,2
Sinic,2016,H_D,H_D,22
Sinic,2016,H_D,P_D,2
Sinic,2016,P_D,P_D,2
Sinic,2017,A,A,1
Sinic,2017,D,D,10
Sinic,2017,D,H_D,2
Sinic,2017,H_A,H_A,2
Sinic,2017,H_D,H_D,19
Sinic,2017,H_D,P_D,3
Sinic,2017,P_D,P_D,4
Sinic,2018,A,A,1
Sinic,2018,D,D,8
Sinic,2018,D,H_D,1
Sinic,2018,H_A,H_A,2
Sinic,2018,H_D,H_D,19
Sinic,2018,H_D,P_A,1
Sinic,2018,H_D,P_D,1
Sinic,2018,P_D,P_D,7
Sinic,2019,A,A,1
Sinic,2019,D,D,8
Sinic,2019,H_A,H_A,2
Sinic,2019,H_D,H_A,1
Sinic,2019,H_D,H_D,18
Sinic,2019,H_D,P_D,1
Sinic,2019,P_A,P_A,1
Sinic,2019,P_D,P_D,8
Sinic,2020,A,A,1
Sinic,2020,D,D,8
Sinic,2020,H_A,H_A,3
Sinic,2020,H_D,H_A,1
Sinic,2020,H_D,H_D,15
Sinic,2020,H_D,P_D,2
Sinic,2020,P_A,P_A,1
Sinic,2020,P_D,P_D,9
Sinic,2021,A,A,1
Sinic,2021,D,D,8
Sinic,2021,H_A,H_A,4
Sinic,2021,H_D,H_D,14
Sinic,2021,H_D,P_D,1
Sinic,2021,P_A,P_A,1
Sinic,2021,P_D,P_D,11
Sinic,2022,A,A,1
Sinic,2022,D,D,8
Sinic,2022,H_A,H_A,3
Sinic,2022,H_A,H_D,1
Sinic,2022,H_D,H_D,11
Sinic,2022,H_D,P_D,3
Sinic,2022,P_A,P_A,1
Sinic,2022,P_D,P_D,12
United States,2000,A,A,1
United States,2000,D,D,4
United States,2000,H_D,H_D,1
United States,2001,A,A,1
United States,2001,D,D,4
United States,2001,D,H_D,1
United States,2001,H_D,H_D,3
United States,2002,A,A,1
United States,2002,D,D,5
United States,2002,H_D,H_D,6
United States,2003,A,H_A,1
United States,2003,D,D,5
United States,2003,D,H_D,1
United States,2003,H_D,H_D,8
United States,2004,A,H_A,1
United States,2004,D,D,7
United States,2004,H_A,H_A,1
United States,2004,H_D,H_D,9
United States,2005,A,A,1
United States,2005,D,D,6
United States,2005,D,H_A,1
United States,2005,D,H_D,1
United States,2005,H_A,H_A,3
United States,2005,H_D,H_D,9
United States,2006,A,A,1
United States,2006,A,H_A,1
United States,2006,D,D,8
United States,2006,H_A,H_A,3
United States,2006,H_A,H_D,1
United States,2006,H_D,H_D,12
United States,2007,A,A,1
United States,2007,A,H_A,1
United States,2007,D,D,6
United States,2007,D,H_D,5
United States,2007,H_A,H_A,4
United States,2007,H_D,H_D,14
United States,2008,A,A,1
United States,2008,D,D,7
United States,2008,D,H_D,1
United States,2008,H_A,H_A,4
United States,2008,H_A,H_D,1
United States,2008,H_D,H_D,19
United States,2008,H_D,P_D,1
United States,2009,A,H_A,1
United States,2009,D,D,7
United States,2009,D,H_D,1
United States,2009,H_A,H_A,4
United States,2009,H_D,H_D,24
United States,2009,P_D,P_D,1
United States,2010,D,D,6
United States,2010,D,H_D,2
United States,2010,H_A,H_A,5
United States,2010,H_D,H_A,1
United States,2010,H_D,H_D,24
United States,2010,H_D,P_D,1
United States,2010,P_D,P_D,1
United States,2011,D,D,4
United States,2011,D,H_D,2
United States,2011,H_A,H_A,6
United States,2011,H_D,H_D,26
United States,2011,H_D,P_D,1
United States,2011,P_D,P_D,2
United States,2012,D,D,3
United States,2012,D,H_D,2
United States,2012,H_A,H_A,4
United States,2012,H_A,H_D,1
United States,2012,H_D,H_A,1
United States,2012,H_D,H_D,27
United States,2012,P_D,P_D,3
United States,2013,D,D,3
United States,2013,H_A,H_A,5
United States,2013,H_D,H_D,29
United States,2013,H_D,P_D,2
United States,2013,P_D,P_D,3
United States,2014,D,D,4
United States,2014,D,H_D,1
United States,2014,H_A,H_A,4
United States,2014,H_A,P_A,1
United States,2014,H_D,H_D,28
United States,2014,H_D,P_D,1
United States,2014,P_D,P_D,5
United States,2015,D,A,1
United States,2015,D,D,2
United States,2015,D,H_D,1
United States,2015,H_A,H_A,3
United States,2015,H_A,H_D,1
United States,2015,H_D,H_A,1
United States,2015,H_D,H_D,27
United States,2015,H_D,P_D,1
United States,2015,P_A,P_A,1
United States,2015,P_D,P_D,6
United States,2016,A,A,2
United States,2016,D,D,2
United States,2016,D,H_D,1
United States,2016,H_A,H_A,4
United States,2016,H_D,H_A,1
United States,2016,H_D,H_D,27
United States,2016,H_D,P_D,1
United States,2016,P_A,P_A,1
United States,2016,P_D,P_D,7
United States,2017,A,A,2
United States,2017,D,D,2
United States,2017,H_A,H_A,4
United States,2017,H_A,P_A,1
United States,2017,H_D,H_D,25
United States,2017,H_D,P_D,2
United States,2017,P_A,P_A,1
United States,2017,P_D,P_D,8
United States,2018,A,A,1
United States,2018,A,H_D,1
United States,2018,D,A,1
United States,2018,D,D,1
United States,2018,H_A,H_A,4
United States,2018,H_D,H_D,24
United States,2018,P_A,P_A,2
United States,2018,P_D,P_D,10
United States,2019,A,A,2
United States,2019,D,D,1
United States,2019,H_A,H_A,4
United States,2019,H_D,H_A,2
United States,2019,H_D,H_D,17
United States,2019,H_D,P_A,1
United States,2019,H_D,P_D,5
United States,2019,P_A,P_A,2
United States,2019,P_D,P_A,1
United States,2019,P_D,P_D,9
United States,2020,A,A,2
United States,2020,D,D,1
United States,2020,H_A,H_A,5
United States,2020,H_A,P_A,1
United States,2020,H_D,H_A,1
United States,2020,H_D,H_D,14
United States,2020,H_D,P_A,1
United States,2020,H_D,P_D,1
United States,2020,P_A,P_A,4
United States,2020,P_D,P_A,3
United States,2020,P_D,P_D,11
United States,2021,A,A,2
United States,2021,D,D,1
United States,2021,H_A,H_A,5
United States,2021,H_A,P_A,1
United States,2021,H_D,H_D,12
United States,2021,H_D,P_D,2
United States,2021,P_A,P_A,9
United States,2021,P_D,P_D,12
United States,2022,A,A,2
United States,2022,D,D,1
United States,2022,H_A,H_A,5
United States,2022,H_D,H_D,12
United States,2022,P_A,P_A,10
United States,2022,P_D,P_D,14
