origin_group,year,compartment,count
Hindu,2019,H_D,14.222700583141982
Hindu,2019,H_A,0.0
Hindu,2019,P_D,7.757971349828489
Hindu,2019,P_A,0.2962962962962964
Islamic,2019,D,6.500677060967124
Islamic,2019,A,0.8686343170814868
Islamic,2019,H_D,13.597913719072992
Islamic,2019,H_A,0.8686343170814868
Islamic,2019,P_D,0.0
Islamic,2019,P_A,0.0
Other Western,2019,D,0.9411818689390176
Other Western,2019,A,0.0
Other Western,2019,H_D,14.527953933530117
Other Western,2019,H_A,0.5308641975308644
Other Western,2019,P_D,0.0
Other Western,2019,P_A,0.0
Other Civilizations,2019,D,2.4565274814362534
Other Civilizations,2019,A,0.0
Other Civilizations,2019,H_D,9.59132555258051
Other Civilizations,2019,H_A,0.28819957925662465
Other Civilizations,2019,P_D,8.099503074652993
Other Civilizations,2019,P_A,0.0
United States,2020,D,0.547517739455508
United States,2020,A,1.0568909474056574
United States,2020,H_D,26.34215550789598
United States,2020,H_A,2.968937760703302
United States,2020,P_D,12.225679071225263
United States,2020,P_A,3.21350846996355
Anglosphere ex-US,2020,D,1.6868553476704395
Anglosphere ex-US,2020,A,0.19394624353302042
Anglosphere ex-US,2020,H_D,8.773316399973966
Anglosphere ex-US,2020,H_A,2.2630010624773202
Anglosphere ex-US,2020,P_D,10.462905175432516
Anglosphere ex-US,2020,P_A,5.158437309374276
Continental Europe,2020,D,2.8309284421335184
Continental Europe,2020,A,3.4954357476260896
Continental Europe,2020,H_D,20.97517145622875
Continental Europe,2020,H_A,2.0
Continental Europe,2020,P_D,17.966514301459437
Continental Europe,2020,P_A,1.0
Sinic,2020,D,7.538717649929972
Sinic,2020,A,0.18857964946107877
Sinic,2020,H_D,22.237794799689187
Sinic,2020,H_A,1.7324697127125868
Sinic,2020,P_D,10.552438188207173
Sinic,2020,P_A,0.0
Japanese,2020,D,3.158782922523101
Japanese,2020,A,0.09898815558940305
Japanese,2020,H_D,9.515899836643504
Japanese,2020,H_A,0.8339156140823033
Japanese,2020,P_D,9.89468532751781
Japanese,2020,P_A,0.0
Hindu,2020,D,3.328693240902774
Hindu,2020,A,0.0
Hindu,2020,H_D,13.805171208885442
Hindu,2020,H_A,0.0
Hindu,2020,P_D,9.20193801934758
Hindu,2020,P_A,0.19753086419753094
Islamic,2020,D,6.268366740508825
Islamic,2020,A,0.8831701774935827
Islamic,2020,H_D,14.482138737344252
Islamic,2020,H_A,0.8831701774935827
Islamic,2020,P_D,0.0
Islamic,2020,P_A,0.0
Other Western,2020,D,0.7676348273815097
Other Western,2020,A,0.0
Other Western,2020,H_D,15.100677929820135
Other Western,2020,H_A,0.46502057613168746
Other Western,2020,P_D,0.0
Other Western,2020,P_A,0.0
Other Civilizations,2020,D,1.9442682265042681
Other Civilizations,2020,A,0.0
Other Civilizations,2020,H_D,9.20036068184282
Other Civilizations,2020,H_A,0.25786211783827906
Other Civilizations,2020,P_D,9.552158325526797
Other Civilizations,2020,P_A,0.0
United States,2021,D,0.35572755067089795
United States,2021,A,0.8421774963164702
United States,2021,H_D,25.48234073333018
United States,2021,H_A,2.7481597319767985
United States,2021,P_D,13.299790921386247
United States,2021,P_A,3.693772313190205
Anglosphere ex-US,2021,D,1.4156122002258573
Anglosphere ex-US,2021,A,0.21209773150669722
