origin_group,rmse,mape,direction_agreement,threshold_alarm_accuracy,threshold_alarm_sensitivity,threshold_alarm_specificity,threshold_alarm_precision,threshold_alarms_obs,threshold_alarms_proj
Anglosphere ex-US,3545.911716078772,0.8628940259933037,0.19444444444444445,1.0,,1.0,,0.0,0.0
Continental Europe,11675.977488554645,1.031112256134,0.19444444444444445,1.0,,1.0,,0.0,0.0
Hindu,7893.850041660826,1.9925326115846063,0.16666666666666666,1.0,,1.0,,0.0,0.0
Islamic,16747.645835236195,2.7518477005757744,0.2222222222222222,1.0,,1.0,,0.0,0.0
Japanese,1677.5126953619083,0.7012401808652677,0.2777777777777778,1.0,,1.0,,0.0,0.0
Other Civilizations,6151.047433938471,1.324592031497082,0.16666666666666666,1.0,,1.0,,0.0,0.0
Other Western,259.8783843081546,0.9776676587362978,0.25,0.2857142857142857,0.0,1.0,,5.0,0.0
Sinic,18773.10573599421,1.3158144552267497,0.2222222222222222,1.0,,1.0,,0.0,0.0
United States,7014.92873300126,0.7739082229514471,0.25,1.0,,1.0,,0.0,0.0
