origin_group,year,from,to,count,stock,prob
Anglosphere ex-US,2016,P_D,P_D,4,5,0.5294117647058824
Anglosphere ex-US,2017,D,D,3,4,0.4666666666666667
Anglosphere ex-US,2017,D,H_D,1,4,0.2
Anglosphere ex-US,2017,H_A,H_A,4,4,0.6
Anglosphere ex-US,2017,H_D,H_D,10,10,0.7777777777777778
Anglosphere ex-US,2017,P_A,P_A,4,4,0.6
Anglosphere ex-US,2017,P_D,P_D,4,4,0.6
Anglosphere ex-US,2018,D,D,2,3,0.38461538461538464
Anglosphere ex-US,2018,D,H_D,1,3,0.23076923076923078
Anglosphere ex-US,2018,H_A,H_A,3,4,0.4666666666666667
Anglosphere ex-US,2018,H_A,P_D,1,4,0.2
Anglosphere ex-US,2018,H_D,H_D,10,11,0.7241379310344828
Anglosphere ex-US,2018,H_D,P_D,1,11,0.10344827586206896
Anglosphere ex-US,2018,P_A,P_A,4,4,0.6
Anglosphere ex-US,2018,P_D,P_D,4,4,0.6
Anglosphere ex-US,2019,D,D,2,2,0.45454545454545453
Anglosphere ex-US,2019,H_A,H_A,3,3,0.5384615384615384
Anglosphere ex-US,2019,H_D,H_A,1,11,0.10344827586206896
Anglosphere ex-US,2019,H_D,H_D,10,11,0.7241379310344828
Anglosphere ex-US,2019,P_A,P_A,4,4,0.6
Anglosphere ex-US,2019,P_D,P_D,6,6,0.6842105263157895
Anglosphere ex-US,2020,D,D,2,2,0.45454545454545453
Anglosphere ex-US,2020,H_A,H_A,4,4,0.6
Anglosphere ex-US,2020,H_D,H_D,10,10,0.7777777777777778
Anglosphere ex-US,2020,P_A,P_A,4,4,0.6
Anglosphere ex-US,2020,P_D,P_D,6,6,0.6842105263157895
Anglosphere ex-US,2021,D,D,2,2,0.45454545454545453
Anglosphere ex-US,2021,H_A,H_A,3,4,0.4666666666666667
Anglosphere ex-US,2021,H_A,P_A,1,4,0.2
Anglosphere ex-US,2021,H_D,H_D,10,10,0.7777777777777778
Anglosphere ex-US,2021,P_A,P_A,4,4,0.6
