origin_group,year,alpha,beta,h_D,h_A,p_D,p_A,d,I_total
Anglosphere ex-US,2000,0.1111111111111111,,0.1111111111111111,,0.09090909090909091,,0.14285714285714285,3.0
Anglosphere ex-US,2001,0.1111111111111111,,0.3333333333333333,,0.07692307692307693,,0.1111111111111111,1.0
Anglosphere ex-US,2002,,0.3333333333333333,,,0.06666666666666667,0.1111111111111111,0.09090909090909091,1.0
Anglosphere ex-US,2003,0.06666666666666667,0.3333333333333333,0.3333333333333333,,0.058823529411764705,0.1111111111111111,0.047619047619047616,5.0
Anglosphere ex-US,2004,0.07692307692307693,0.6,0.07692307692307693,,0.047619047619047616,0.09090909090909091,0.04,2.0
Anglosphere ex-US,2005,0.2,0.2,0.06666666666666667,0.1111111111111111,0.04,0.1111111111111111,0.030303030303030304,4.0
Anglosphere ex-US,2006,0.2,0.1111111111111111,0.2,0.38461538461538464,0.04,0.1111111111111111,0.02702702702702703,2.0
Anglosphere ex-US,2007,0.2727272727272727,0.06666666666666667,0.09090909090909091,0.09090909090909091,0.04,0.058823529411764705,0.02564102564102564,1.0
Anglosphere ex-US,2008,0.1111111111111111,0.058823529411764705,0.1111111111111111,0.38461538461538464,0.04,0.058823529411764705,0.02564102564102564,
Anglosphere ex-US,2009,0.1111111111111111,0.13043478260869565,0.1111111111111111,0.3333333333333333,0.15789473684210525,0.1111111111111111,0.02564102564102564,
Anglosphere ex-US,2010,0.09090909090909091,0.037037037037037035,0.09090909090909091,,0.058823529411764705,0.034482758620689655,0.023255813953488372,2.0
Anglosphere ex-US,2011,0.06666666666666667,0.037037037037037035,0.2,,0.058823529411764705,0.10344827586206896,0.02127659574468085,2.0
Anglosphere ex-US,2012,0.09090909090909091,0.034482758620689655,0.09090909090909091,,0.05263157894736842,0.10344827586206896,0.02127659574468085,
Anglosphere ex-US,2013,0.07692307692307693,0.034482758620689655,0.07692307692307693,,0.05263157894736842,0.1111111111111111,0.02040816326530612,1.0
Anglosphere ex-US,2014,0.07692307692307693,0.034482758620689655,0.23076923076923078,,0.05263157894736842,0.04,0.02040816326530612,
Anglosphere ex-US,2015,0.07692307692307693,0.16129032258064516,0.07692307692307693,,0.05263157894736842,0.18518518518518517,0.0196078431372549,1.0
Anglosphere ex-US,2016,0.06666666666666667,0.10344827586206896,0.06666666666666667,,0.047619047619047616,0.043478260869565216,0.05454545454545454,2.0
Anglosphere ex-US,2017,0.06666666666666667,0.037037037037037035,0.2,,0.05263157894736842,0.043478260869565216,0.018867924528301886,
Anglosphere ex-US,2018,0.07692307692307693,0.1111111111111111,0.07692307692307693,,0.14285714285714285,0.043478260869565216,0.018867924528301886,
Anglosphere ex-US,2019,0.09090909090909091,0.10344827586206896,0.09090909090909091,,0.058823529411764705,0.04,0.018867924528301886,
Anglosphere ex-US,2020,0.09090909090909091,0.25925925925925924,0.09090909090909091,,0.05263157894736842,0.043478260869565216,0.018867924528301886,
Anglosphere ex-US,2021,0.09090909090909091,0.047619047619047616,0.09090909090909091,,0.04,0.17647058823529413,0.018867924528301886,
Anglosphere ex-US,2022,0.09090909090909091,0.047619047619047616,0.09090909090909091,,0.04,0.2,0.018867924528301886,
Anglosphere ex-US,2023,0.09090909090909091,0.047619047619047616,0.09090909090909091,,0.04,0.07692307692307693,1.0,
Continental Europe,2000,0.09090909090909091,,0.09090909090909091,,0.1111111111111111,,0.14285714285714285,3.0
Continental Europe,2001,0.06666666666666667,,0.2,,0.07692307692307693,,0.06666666666666667,4.0
Continental Europe,2002,0.037037037037037035,,0.18518518518518517,,0.06666666666666667,,0.034482758620689655,7.0
Continental Europe,2003,0.037037037037037035,0.42857142857142855,0.1111111111111111,0.1111111111111111,0.05263157894736842,0.2727272727272727,0.02564102564102564,5.0
Continental Europe,2004,0.034482758620689655,0.14285714285714285,0.034482758620689655,,0.047619047619047616,0.09090909090909091,0.023255813953488372,2.0
Continental Europe,2005,0.02857142857142857,0.42857142857142855,0.14285714285714285,,0.14285714285714285,0.09090909090909091,0.02040816326530612,3.0
Continental Europe,2006,0.024390243902439025,0.14285714285714285,0.21951219512195122,,0.043478260869565216,0.09090909090909091,0.05084745762711865,5.0
