country,iso3,n,y_start,y_end,mu_const,mu_H0,mu_H1,M0_level_rmse,M1_level_rmse,M2_level_rmse,M0_change_rmse,M1_change_rmse,M2_change_rmse
Australia,AUS,24,2000,2023,3.0,0.0,0.30000000000000004,0.28517128098131733,0.14006449086864697,0.29762636444946217,0.15806105317246888,0.12448701083004733,0.1543279362329831
Austria,AUT,24,2000,2023,4.0,4.0,-0.1,0.4163846780574302,0.23741845422399552,0.36072507813727056,0.3113118436513771,0.3251413150872256,0.34496723179846644
Belgium,BEL,24,2000,2023,4.0,0.0,0.30000000000000004,0.35346417361161253,0.27726796767441897,0.3967168834182034,0.4792134104976697,0.44592082153767404,0.4505511554295172
Canada,CAN,24,2000,2023,3.0,0.0,0.30000000000000004,0.4537048518573832,0.2019210193051575,0.433969509594183,0.3291287778513216,0.2641695438649794,0.25403310893196973
Chile,CHL,24,2000,2023,10.0,6.0,-0.1,0.5098862637698311,0.500631914570905,0.5058865800682079,0.5008393247463194,0.4979438202014765,0.5080483705262884
China,CHN,24,2000,2023,13.0,0.0,0.05000000000000002,0.22198325202634536,0.16606531670509397,0.217073169203881,0.1683778041014446,0.16147230426359285,0.16807511880992398
Colombia,COL,24,2000,2023,0.0,6.0,-0.1,0.9457197079033078,0.9152353996700776,0.8470909791525492,0.7711543252086577,0.9202731513870304,0.9144768634429242
Costa Rica,CRI,24,2000,2023,5.0,6.0,-0.1,0.6072380359418317,0.5320768409075607,0.4924452216013299,0.6071533450271447,0.6094746684990416,0.5876054175792296
Czech Republic,CZE,24,2000,2023,6.0,0.0,0.30000000000000004,0.6205460246657617,0.4634375515671654,0.6213909886094835,0.4697964206261382,0.5677250328656208,0.5247531064104717
Denmark,DNK,24,2000,2023,1.0,0.0,0.1,0.38803081824953534,0.206705273613603,0.2719023526278112,0.2975229444954125,0.19444474519762106,0.20652807897346992
Estonia,EST,24,2000,2023,6.0,0.0,0.1,0.8224089452470528,0.46340435425656257,0.8037249046909147,0.6217687494870702,0.5024129817458036,0.5969468432853008
Finland,FIN,24,2000,2023,19.0,0.0,0.1,0.4440042008917911,0.21621231461983137,0.35066942515775645,0.26698386004306285,0.24944760956464876,0.25463254892469633
France,FRA,24,2000,2023,4.0,0.0,0.30000000000000004,0.50045721721053,0.2578967163597588,0.5621452726458673,0.4497497201568301,0.39395405601652156,0.37081276573710914
Germany,DEU,24,2000,2023,15.0,4.0,-0.1,0.36744938985834724,0.20820813437140137,0.2397852345494414,0.28257945579675753,0.2950948442533812,0.3103083301163476
Greece,GRC,24,2000,2023,3.0,0.0,0.15,0.8553171199433784,0.35684530737368203,0.35601633541533223,0.4963064607682484,0.44435099939702244,0.4317405164255339
Hungary,HUN,24,2000,2023,19.0,0.0,0.30000000000000004,0.6976926842721385,0.5326357112243955,0.5448468665321926,0.5059272404263011,0.6366065142407621,0.6744325548488111
Iceland,ISL,24,2000,2023,19.0,18.0,0.30000000000000004,0.5507851781202424,0.3173795866787041,0.3225086056882907,0.5786129913760325,0.46147381630178513,0.4487310767218733
