group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium
Anglosphere ex-US,10.121618908857272,0.006311720415396849,0.0011976047904191617,0.0658682634730539,0.012623440830793697,4.791139240506329,25,25,119.77848101265822,1137.0165895762873,57.31527976698744,23.29216944662388,47.04792795233912,21.332522262562858,1032.6533818569608,83.26421413359701,1017.2381085636291,1032.6533818569608
Continental Europe,25.683433937676213,0.010148171942773843,0.0004761904761904762,0.0696078431372549,0.020296343885547685,4.964200477326969,26,26,129.0692124105012,2103.2716025648583,178.24810354833906,36.67329359968538,183.60912984805654,34.03812704975487,1741.4143691684628,73.93252601843541,1974.202390154357,1741.4143691684628
Hindu,11.338147493606872,0.004088332047331278,0.0011299435028248588,0.06746427384513128,0.008176664094662556,3.1447963800904977,21,21,66.04072398190046,1856.780721086119,113.7731757437339,13.675232173682215,66.75954744885847,9.973324589353183,1676.2479978935266,16.56548154728259,1790.7399971042184,1676.2479978935266
Islamic,10.599421774854397,0.005634748654529176,0.0011560693641618498,0.06596395783747025,0.011269497309058352,4.08130081300813,31,31,126.52032520325203,1379.717850951445,116.76259583090413,30.565333654607024,71.86809558917608,15.951674629527934,1191.0871595313647,28.15456276995302,1253.197525748193,1191.0871595313647
Japanese,11.838628791463357,0.011796160278436219,0.0011627906976744186,0.0786593707250342,0.023592320556872437,4.20627802690583,12,12,50.47533632286996,924.4061097348387,151.3895464406303,19.075883057800713,79.21310240940068,18.28271795081965,693.8034608848077,22.826104336355822,873.9307734119687,693.8034608848077
Other Civilizations,11.502263064348115,0.011204975684222518,0.0011560693641618498,0.07582454947296838,0.022409951368445036,4.980769230769231,21,21,104.59615384615385,922.0210106658552,137.82515000730606,24.529139209091753,76.27584769467877,18.694637454818224,707.9200129638704,32.51367403295973,817.4248568197014,707.9200129638704
Other Western,7.250046306258836,0.013349900435969175,0.0017391304347826088,0.0741687979539642,0.02669980087193835,3.811320754716981,15,15,57.16981132075472,501.2021163596278,55.779122359423205,11.172424034972893,58.18337746612404,14.093433171280992,387.23961653408054,11.345759209330616,444.03230503887306,387.23961653408054
Sinic,21.328457523635535,0.004251165455116279,0.0005899705014749262,0.06645844178379316,0.008502330910232558,4.681003584229391,24,24,112.34408602150538,3400.4615118498077,212.6712697285066,32.19982741978275,134.2654892344387,25.862120934448242,3053.524752886862,50.90868508247633,3288.117425828302,3053.524752886862
United States,19.57924455633413,0.006829267638067904,0.0006211180124223603,0.06649616368286444,0.013658535276135808,4.7319034852546915,28,28,132.49329758713137,2080.1213012617823,105.05787163219685,40.68890322115786,109.48482609357208,36.943239055824755,1865.5786035360131,148.79571545189424,1947.628003674651,1865.5786035360131
