rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold
I0,10.121618908857272,1146.82018720455,0.8622211600198367,Anglosphere ex-US,domestic_active,119.77848101265822
r,0.006311720415396849,1139.8432416183368,0.24860253297648943,Anglosphere ex-US,domestic_active,119.77848101265822
beta,0.0410742165209008,1138.053183280874,0.09116786105759557,Anglosphere ex-US,domestic_active,119.77848101265822
h_D,0.1191787848529514,1137.7805604789235,0.06719083165891805,Anglosphere ex-US,domestic_active,119.77848101265822
h_A,0.2307283363122913,1137.1084022346747,0.008074874124892033,Anglosphere ex-US,domestic_active,119.77848101265822
p_D,0.1535056728662697,1137.0699793078309,0.004695598290564171,Anglosphere ex-US,domestic_active,119.77848101265822
p_A,0.2005436529035032,1137.0217542945068,0.000454234200874788,Anglosphere ex-US,domestic_active,119.77848101265822
alpha,0.1146450205765169,1136.2512039408166,-0.06731525665389952,Anglosphere ex-US,domestic_active,119.77848101265822
epsilon,0.0011976047904191617,1135.4655318856928,-0.1364146930496826,Anglosphere ex-US,domestic_active,119.77848101265822
d,0.0103056227617407,1123.3338498363998,-1.2033896308396304,Anglosphere ex-US,domestic_active,119.77848101265822
I0,10.121618908857272,1041.557137824992,0.8622211600198395,Anglosphere ex-US,domestic_PIs,119.77848101265822
r,0.006311720415396849,1035.2205843211245,0.2486025329764867,Anglosphere ex-US,domestic_PIs,119.77848101265822
beta,0.0410742165209008,1033.5783634092954,0.08957328456827558,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_D,0.1191787848529514,1033.537640120038,0.08562972616108505,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_D,0.1535056728662697,1033.1386792331416,0.04699518586848011,Anglosphere ex-US,domestic_PIs,119.77848101265822
h_A,0.2307283363122913,1032.7961945773282,0.0138296860182225,Anglosphere ex-US,domestic_PIs,119.77848101265822
p_A,0.2005436529035032,1032.700316651172,0.0045450675934272065,Anglosphere ex-US,domestic_PIs,119.77848101265822
alpha,0.1146450205765169,1032.2859790353777,-0.03557852305895211,Anglosphere ex-US,domestic_PIs,119.77848101265822
epsilon,0.0011976047904191617,1031.2446909158334,-0.13641469304968465,Anglosphere ex-US,domestic_PIs,119.77848101265822
d,0.0103056227617407,1019.1912565998311,-1.3036441359366362,Anglosphere ex-US,domestic_PIs,119.77848101265822
