group,I0,r,epsilon,r_obs,r_critical,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium
Anglosphere ex-US,9.945942690628726,0.006311720415396849,0.0,0.0658682634730539,0.012623440830793697,4.791139240506329,25,25,119.77848101265822,1735.0437450603918,87.46092059497238,35.54295801639229,71.79333517216111,32.55261150746639,1575.7894892932582,127.05800007166353,1615.2652640477336,1575.7894892932582
Continental Europe,24.973061901682044,0.010148171942773843,0.0,0.0696078431372549,0.020296343885547685,4.964200477326969,26,26,129.0692124105012,2972.1943976843745,251.8875898472559,51.82409996345581,259.46341234893754,48.100269314519345,2460.843395488181,104.4762071482738,2843.1251852738733,2460.843395488181
Hindu,11.2175416982106,0.004088332047331278,0.0,0.06746427384513128,0.008176664094662556,3.1447963800904977,21,21,66.04072398190046,3039.302150854492,186.23149940139783,22.38452935605377,109.27646643848222,16.325000863785483,2743.794185014612,27.115481717811967,2973.2614268725915,2743.794185014612
Islamic,10.436953188648806,0.005634748654529176,0.0,0.06596395783747025,0.011269497309058352,4.08130081300813,31,31,126.52032520325203,2145.586004054817,181.57639349171086,47.531857367335334,111.7613865239731,24.806296303805617,1852.248224039133,43.78289067423243,2019.0656788515648,1852.248224039133
Japanese,11.500472196814853,0.011796160278436219,0.0,0.0786593707250342,0.023592320556872437,4.20627802690583,12,12,50.47533632286996,1298.9766753510573,212.7327888115787,26.805455841172776,111.31035518742009,25.69089919467217,974.9335313520586,32.075271690448865,1248.5013390281874,974.9335313520586
Other Civilizations,11.179186265453033,0.011204975684222518,0.0,0.07582454947296838,0.022409951368445036,4.980769230769231,21,21,104.59615384615385,1299.439013449008,194.24218633002536,34.56984177789729,107.49843130665947,26.347058223253008,997.6983958123232,45.82274809386447,1194.842859602854,997.6983958123232
Other Western,6.994173214569427,0.013349900435969175,0.0,0.0741687979539642,0.02669980087193835,3.811320754716981,15,15,57.16981132075472,678.0964514617917,75.46581249955928,15.11562071478875,78.71862569217741,19.067571166244477,523.912013270055,15.35013282638795,620.9266401410371,523.912013270055
Sinic,21.088266675421465,0.004251165455116279,0.0,0.06645844178379316,0.008502330910232558,4.681003584229391,24,24,112.34408602150538,5524.198754847683,345.4937982188761,52.31003083517056,218.12017158942078,42.014148893007494,4960.584785039386,82.70339004383061,5411.854668826178,4960.584785039386
United States,19.212740526424486,0.006829267638067904,0.0,0.06649616368286444,0.013658535276135808,4.7319034852546915,28,28,132.49329758713137,3136.825023004467,158.42737651865082,61.35890714897899,165.1032283171587,55.71044180493348,2813.2944181686576,224.3840891693337,3004.3317254173353,2813.2944181686576
