rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold,proximity
d,0.0123968639619005,1.290007544101758,0.0159920480340548,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_PIs,240.72659470224835,119.77848101265822,0.290007544101758
d,0.0123968639619005,1.418283503393113,0.017582267650972,119.77848101265822,True,-1,crossing_found,Anglosphere ex-US,domestic_active,240.72659470224835,119.77848101265822,0.41828350339311293
d,0.0157145992231017,1.5329761770135562,0.0240901062403306,129.0692124105012,True,-1,crossing_found,Continental Europe,domestic_PIs,384.9107707288874,129.0692124105012,0.5329761770135562
I0,3.3206864577859427,0.335322423340061,1.1135006301773056,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_active,384.9107707288874,129.0692124105012,0.664677576659939
I0,2.1709128832319893,0.1249325704489093,0.2712177267228254,66.04072398190046,True,1,crossing_found,Hindu,domestic_PIs,590.6162396171652,66.04072398190046,0.8750674295510907
I0,2.1709128832319893,0.1118166409117157,0.2427441863149689,66.04072398190046,True,1,crossing_found,Hindu,domestic_active,590.6162396171652,66.04072398190046,0.8881833590882843
I0,1.534433162128741,0.3869353750786283,0.5937264711213701,126.52032520325204,True,1,crossing_found,Islamic,domestic_PIs,377.3136241543064,126.52032520325204,0.6130646249213717
I0,1.534433162128741,0.3353187298413328,0.5145241789514293,126.52032520325204,True,1,crossing_found,Islamic,domestic_active,377.3136241543064,126.52032520325204,0.6646812701586672
d,0.0175045025911053,1.5434439197733938,0.027017218092899,50.47533632286996,True,-1,crossing_found,Japanese,domestic_PIs,190.20981949739144,50.47533632286996,0.5434439197733938
I0,1.716709806581601,0.2653666170140189,0.4555574737673503,50.47533632286996,True,1,crossing_found,Japanese,domestic_active,190.20981949739144,50.47533632286996,0.734633382985981
d,0.0180790222463682,1.0499488408631794,0.0189820484515139,104.59615384615384,True,-1,crossing_found,Other Civilizations,domestic_PIs,170.76778850703613,104.59615384615384,0.04994884086317941
d,0.0180790222463682,1.2603289715130814,0.0227855155137273,104.59615384615384,True,-1,crossing_found,Other Civilizations,domestic_active,170.76778850703613,104.59615384615384,0.26032897151308143
d,0.0236046218869592,1.014004367840882,0.0239351896946091,57.16981132075472,True,-1,crossing_found,Other Western,domestic_PIs,80.0437056196,57.16981132075472,0.014004367840882104
d,0.0236046218869592,1.165158836337326,0.0275031337699919,57.16981132075472,True,-1,crossing_found,Other Western,domestic_active,80.0437056196,57.16981132075472,0.16515883633732598
I0,3.4179352873876163,0.0999569549984436,0.3416464037089966,112.34408602150538,True,1,crossing_found,Sinic,domestic_PIs,1205.3807847156936,112.34408602150538,0.9000430450015564
I0,3.4179352873876163,0.093202154411316,0.3185589324229866,112.34408602150538,True,1,crossing_found,Sinic,domestic_active,1205.3807847156936,112.34408602150538,0.906797845588684
I0,3.2616904826224045,0.2795369157828895,0.9117628977506712,132.49329758713137,True,1,crossing_found,United States,domestic_PIs,528.7246553687658,132.49329758713137,0.7204630842171105
I0,3.2616904826224045,0.2505903521649131,0.8173481666932939,132.49329758713137,True,1,crossing_found,United States,domestic_active,528.7246553687658,132.49329758713137,0.7494096478350869
