system,measure,fn_hz,zeta,mean_ratio,n,ccc,r,C_b,v,u,bias,sd_diff,loa_lower,loa_upper,pe,prop_slope,prop_intercept,prop_slope_lo,prop_slope_hi,prop_slope_p,deming_slope,deming_lo,deming_hi,pb_slope,pb_lo,pb_hi,flag_meanbias,flag_ba_regression,flag_deming,flag_pb,flag_ccc_v
optimal,pp,25.0,0.65,1.0073686482785424,120,0.9727669016127314,0.9738942228535683,0.9988424602853339,1.0298028814750941,0.03814781472037264,0.3363199039811054,2.0395821716954794,-3.6612611525420338,4.333900960504245,8.999107405855154,0.029753582728334914,-0.9853929427963142,-0.012166815058602475,0.0716739805152723,0.16249250501968354,1.0306136288466878,0.9859021728480417,1.075325084845334,1.0352312421096117,0.9932058104129264,1.0836697126007995,False,False,False,False,False
optimal,sbp,25.0,0.65,1.0015382113523374,120,0.9940330686496057,0.9943298814001673,0.9997014946889219,1.0195271606777774,0.014939282823877463,0.20463980697417863,1.4887941099531325,-2.713396648533961,3.1226762624823188,2.405165608742165,0.019393325238926992,-2.1482306080618288,-4.553270245608379e-05,0.038832183180310065,0.05053033557443601,1.019639585634191,0.9970695632004999,1.0422096080678822,1.019198015118119,0.9996920851388883,1.0412819962493094,False,False,False,False,False
underdamped,pp,10.0,0.15,1.243091764949728,120,0.5880978560686839,0.9566548171598399,0.6147440492848355,1.2769905298629396,1.0923849235926542,10.724458927401258,3.776926458552324,3.321683068638703,18.127234786163815,14.92012561504036,0.2486034349315909,-1.6102596533983677,0.19515806623435403,0.3020488036288278,1.470124815908366e-15,1.2909192814730757,1.2142488724314962,1.3675896905146552,1.266393727777314,1.193185151438505,1.3492745596227127,True,True,True,True,True
underdamped,sbp,10.0,0.15,1.0629491799663564,120,0.8612988675945173,0.9907925550302771,0.8693029264518418,1.0549066874689121,0.5457436564248365,7.604255267404801,2.040782154585578,3.6043222444170677,11.604188290392534,3.1993441608313216,0.05368657360938614,0.8921702938567734,0.028908995880656405,0.07846415133811588,3.66665026463864e-05,1.055430318789726,1.0306836846149547,1.0801769529644973,1.0493293608715217,1.0205385929984554,1.0770890594139022,True,True,True,True,True
overdamped,pp,8.0,0.8,0.9210796567218086,120,0.8914757209995687,0.9623288943668313,0.9263732245991837,0.9893499354457707,-0.398550374028308,-3.444007117349317,2.383676499587448,-8.116013056540716,1.2279988218420819,10.984733548977445,-0.010912619429997408,-2.9798736673956814,-0.061427518705694906,0.0396022798457001,0.6695810217828143,0.9889353620967233,0.9420809761223077,1.0357897480711389,0.9897300491704227,0.9420521923462994,1.042612472190436,False,False,False,False,False
overdamped,sbp,8.0,0.8,0.971598706777689,120,0.9584356611166184,0.9893505138311943,0.9687523761473977,0.9912391690983029,-0.2538378117840953,-3.428518608650506,1.9830545033822158,-7.315305435279649,0.4582682179786368,3.252346856017259,-0.008846480145661181,-2.3713010357899535,-0.035522075035436466,0.017829114744114104,0.51263869063159,0.9911452876811523,0.968038825874159,1.0142517494881456,0.9942084212863375,0.969104853854022,1.0194285270418824,False,False,False,False,False
