specialty,definition,outcome,R_squared,intervention_year,trend_coef,trend_pval,level_change_coef,level_change_pval,slope_change_coef,slope_change_pval,accident_effect_coef,accident_effect_pval
内科,JMSR,physicians,0.9981908234096127,2024,374.4017354929829,7.460860758819784e-09,-82.62801820328605,0.30224956651508034,0.0,,1.764849685332706,0.40677385112867565
内科,JMSR,facilities,0.9914988943493739,2024,-245.37292413643354,7.230580544771211e-07,253.37549833257071,0.049640794477464625,0.0,,-5.081112253337665,0.1186333223235382
外科,JMSR,physicians,0.9976551419323012,2016,-323.03998327204135,0.0002527777129825056,-434.36543958823313,0.003467723955253176,111.32545631655012,0.07330152474992224,5.3141595731165125,0.06610191791242226
外科,JMSR,facilities,0.9974670331627423,2016,-425.42984796521887,0.0003953958464378486,-556.2147969337602,0.005841768990917785,130.7849489688997,0.12503060200081795,7.988184474653792,0.05635502034421933
外科,Litigation,physicians,0.9943540446795124,2005,-572.8036748459699,3.7047806916267307e-06,-841.1698142175883,0.00011695241255579396,268.3661393716202,0.00566525185238981,19.338557095556816,2.831287462858984e-07
整形外科,JMSR,physicians,0.9990505943698589,2017,159.53435430463287,0.03989231782867726,43.87600027591725,0.5571161880527772,29.917701434860646,0.6383720708749249,1.1525248344370311,0.5522168224886269
整形外科,JMSR,facilities,0.9964378044363706,2017,-62.64486754966674,0.023357672469295345,10.179014900661969,0.6822883564441663,33.805877483433505,0.15356661698683496,0.4863410596025801,0.46008942321884316
形成外科,JMSR,physicians,0.9994261749848582,2018,88.000000000001,2.481183225347252e-05,-38.21031746031895,0.06008398938205062,3.7976190476168767,0.5703682151047358,4.86111111111029,0.16740518630906093
形成外科,JMSR,facilities,0.9998638174387593,2018,82.50000000000084,1.3111999947121508e-06,-7.328042328043466,0.4106034655221753,13.37301587301431,0.009063751209866898,2.037037037036498,0.24785084222047063
形成外科,Litigation,facilities,0.9989908047790975,2019,72.91940152725968,5.968976709242344e-18,5.910598219042868,0.7756601038962475,22.893833244539223,0.0005002588874981912,4.06617385899483,0.004924511539489166
産婦人科,JMSR,physicians,0.994678877796646,2017,-10.13124999997126,0.8951975849886785,91.13333333337596,0.32701999942092275,132.73333333328992,0.15831912203615311,17.69374999999809,0.020731861308413792
産婦人科,JMSR,facilities,0.9986811699669336,2017,-132.20833333331666,0.0017657116334742178,26.000000000020464,0.346684668162497,81.3333333333112,0.019175228052575283,4.291666666665606,0.04235376741174837
