cancer,age_group,incidence_per_100k,sensitivity,specificity,true_positives,false_positives,total_positives,ppv,fp_to_tp_ratio
Gastric,0-4 yrs.,0.122,0.7,0.99,0.086,999.999,1000.084,0.0,11677.129
Gastric,5-9 yrs.,0.021,0.7,0.99,0.014,1000.0,1000.014,0.0,69128.557
Gastric,10-14 yrs.,0.019,0.7,0.99,0.013,1000.0,1000.013,0.0,74928.557
Gastric,15-19 yrs.,0.073,0.7,0.99,0.051,999.999,1000.05,0.0,19621.414
Gastric,20-24 yrs.,0.385,0.7,0.99,0.269,999.996,1000.266,0.0,3711.295
Gastric,25-29 yrs.,1.096,0.7,0.99,0.767,999.989,1000.756,0.001,1303.406
Gastric,30-34 yrs.,2.414,0.7,0.99,1.69,999.976,1001.666,0.002,591.822
Gastric,35-39 yrs.,5.265,0.7,0.99,3.685,999.947,1003.633,0.004,271.337
Gastric,40-44 yrs.,8.384,0.7,0.99,5.869,999.916,1005.785,0.006,170.383
Gastric,45-49 yrs.,13.67,0.7,0.99,9.569,999.863,1009.432,0.009,104.492
Gastric,50-54 yrs.,23.177,0.7,0.99,16.224,999.768,1015.992,0.016,61.624
Gastric,55-59 yrs.,41.116,0.7,0.99,28.781,999.589,1028.37,0.028,34.731
Gastric,60-64 yrs.,79.435,0.7,0.99,55.605,999.206,1054.81,0.053,17.97
Gastric,65-69 yrs.,142.73,0.7,0.99,99.911,998.573,1098.484,0.091,9.995
Gastric,70-74 yrs.,224.77,0.7,0.99,157.339,997.752,1155.092,0.136,6.341
Gastric,75-79 yrs.,283.304,0.7,0.99,198.313,997.167,1195.48,0.166,5.028
Gastric,80-84 yrs.,320.204,0.7,0.99,224.142,996.798,1220.94,0.184,4.447
Gastric,85-89 yrs.,328.299,0.7,0.99,229.809,996.717,1226.526,0.187,4.337
Gastric,90-94 yrs.,281.778,0.7,0.99,197.245,997.182,1194.427,0.165,5.056
Gastric,95-99 yrs.,239.9,0.7,0.99,167.93,997.601,1165.531,0.144,5.941
Gastric,100+ yrs.,144.318,0.7,0.99,101.023,998.557,1099.58,0.092,9.884
Colorectal,0-4 yrs.,0.0,0.7,0.99,0.0,1000.0,1000.0,0.0,inf
Colorectal,5-9 yrs.,0.041,0.7,0.99,0.029,1000.0,1000.029,0.0,34564.271
Colorectal,10-14 yrs.,0.172,0.7,0.99,0.12,999.998,1000.118,0.0,8325.383
Colorectal,15-19 yrs.,0.491,0.7,0.99,0.344,999.995,1000.339,0.0,2906.864
