cancer,specialty,specialist_count,baseline_total_patients,baseline_cases_per_specialist,follow_up_rate,fp_specialist_visits_per_100k,fp_visits_per_specialist,cases_per_specialist_with_fp,percent_change_in_cases_per_specialist
Gastric,Gastroenterology,23706.0,281000.0,11.853539188391125,0.5,1396.506,73.25441559352063,85.10795478191176,617.9961480640569
Colorectal,Gastrointestinal Surgery,8877.0,563000.0,63.42232736284781,0.5,1465.179,205.24554897938495,268.6678763422328,323.61718264476025
Lung,Respiratory Medicine,7594.0,333000.0,43.85040821701343,0.5,1707.878,279.66333576244404,323.51374397945744,637.7667783123123
Breast,Breast Surgery,1943.0,784000.0,403.4997426659804,0.5,1394.504,892.4753829336078,1295.9751255995882,221.18363125510206
Prostate,Urology,7015.0,600000.0,85.53100498930863,0.5,1363.915,241.77361962223804,327.30462461154667,282.6736569416666
Liver,Hepatology,8000.0,81000.0,10.125,0.5,1295.573,201.38224765375003,211.50724765375003,1988.9604706543214
Pancreatic,Gastroenterology,23706.0,89000.0,3.7543237998818864,0.5,1579.637,82.8606431228381,86.61496692271999,2207.0723661460675
Ovarian,Obstetrics and Gynaecology,21982.0,48000.0,2.183604767537076,0.5,1521.425,86.06619969747975,88.24980446501682,3941.4733369791657
