cancer,prevalence_per_100k,sensitivity,specificity,follow_up_rate,actual_cases,true_positives,false_positives,total_positives,ppv,followed_positives,followed_true_positives,followed_false_positives,additional_visits,fp_specialist_visits,tp_specialist_visits,total_visits,fp_to_tp_ratio,visits_per_detected_case,ct_visits,mri_visits,endoscopy_visits,specialist_visits,primary_care_visits,sweep_specificity,ct_visits_utilization_pct,mri_visits_utilization_pct,endoscopy_visits_utilization_pct,primary_care_visits_utilization_pct,specialist_total_visits,specialist_total_visits_utilization_pct,max_capacity_utilization_pct
Gastric,84.32,0.7,0.95,0.7,84.32,59.024,4995.784,5054.808,0.011677,3538.366,41.317,3497.049,5410.841,8742.622,206.584,17087.448,84.639684,289.499338,1061.51,353.837,3184.529,3538.366,3538.366,0.95,18.700298,13.214907,123.287417,29.528226,8949.206,124.583572,124.583572
Colorectal,123.844,0.7,0.95,0.7,123.844,86.691,4993.808,5080.498,0.017063,3556.349,60.683,3495.665,5486.232,8739.164,303.417,17222.184,57.604913,198.662508,1066.905,177.817,3378.531,3556.349,3556.349,0.95,18.79534,6.641035,130.798119,29.6783,9042.581,125.883456,130.798119
Lung,99.702,0.7,0.95,0.7,99.702,69.791,4995.015,5064.806,0.01378,3545.364,48.854,3496.51,7237.29,10489.531,293.123,18227.919,71.570887,261.178067,3190.828,531.805,177.268,3545.364,3545.364,0.95,56.211856,19.861567,6.862848,29.586631,10782.654,150.10734,150.10734
Breast,83.168,0.7,0.95,0.7,83.168,58.217,4995.842,5054.059,0.011519,3537.841,40.752,3497.089,5408.643,8742.723,203.761,14076.354,85.813451,241.789193,353.784,1061.352,176.892,3537.841,3537.841,0.95,6.232509,39.638846,6.848286,29.523851,8946.484,124.545672,124.545672
Prostate,82.101,0.7,0.95,0.7,82.101,57.47,4995.895,5053.365,0.011373,3537.356,40.229,3497.126,5366.378,8742.816,160.917,14386.635,86.929779,250.330923,353.736,1414.942,176.868,3537.356,3537.356,0.95,6.231654,52.844541,6.847346,29.519799,8903.733,123.950535,123.950535
Liver,26.229,0.7,0.95,0.7,26.229,18.36,4998.689,5017.049,0.00366,3511.934,12.852,3499.082,5300.032,8747.705,64.261,15133.448,272.255475,824.24898,1404.774,1053.58,351.193,3511.934,3511.934,0.95,24.747476,39.348576,13.596274,29.307651,8811.966,122.673022,122.673022
Pancreatic,38.195,0.7,0.95,0.7,38.195,26.737,4998.09,5024.827,0.005321,3517.379,18.716,3498.663,7090.904,10495.99,112.294,17994.779,186.938305,673.039747,2110.427,1055.214,703.476,3517.379,3517.379,0.95,37.178764,39.409578,27.234704,29.353087,10608.283,147.679888,147.679888
Ovarian,10.276,0.7,0.95,0.7,10.276,7.193,4999.486,5006.679,0.001437,3504.675,5.035,3499.64,7024.456,10498.921,30.211,17363.249,695.046296,2413.900416,1401.87,1752.338,175.234,3504.675,3504.675,0.95,24.696326,65.445412,6.784086,29.247076,10529.132,146.578007,146.578007
Gastric,84.32,0.7,0.98,0.7,84.32,59.024,1998.314,2057.338,0.02869,1440.136,41.317,1398.82,2263.497,3497.049,206.584,7015.947,33.855874,118.865735,432.041,144.014,1296.123,1440.136,1440.136,0.98,7.611135,5.378548,50.17873,12.018168,3703.633,51.558969,51.558969
Colorectal,123.844,0.7,0.98,0.7,123.844,86.691,1997.523,2084.214,0.041594,1458.95,60.683,1398.266,2340.133,3495.665,303.417,7154.667,23.041965,82.531003,437.685,72.947,1386.002,1458.95,1458.95,0.98,7.710563,2.724405,53.658365,12.175168,3799.083,52.88774,53.658365
