group,inflow_I,c_bar,k_groups_observed,k_used,M_threshold,T_equilibrium,D_eq,A_eq,H_D_eq,H_A_eq,P_D_eq,P_A_eq,margin_to_threshold_T,P_D_equilibrium
Anglosphere ex-US,1.9411764705882353,4.791139240506329,25,25,119.77848101265822,137.45353631273085,8.144145553931173,3.409891073581549,8.667248213746337,3.814060054276194,120.64214254505333,11.908603731669762,17.67505530007263,120.64214254505333
Continental Europe,3.9411764705882355,4.964200477326969,26,26,129.0692124105012,228.41681865457784,17.831572195934125,6.268297994381502,20.033760249231275,4.003902289531112,190.55148620941245,12.108116555388019,99.34760624407664,190.55148620941245
Hindu,2.2941176470588234,3.1447963800904977,21,21,66.04072398190046,312.06759802658604,17.63767568556701,2.508070386910755,15.124450410540044,1.984322238886707,279.305471930479,0.9573055732941701,246.0268740446856,279.305471930479
Islamic,1.6470588235294117,4.08130081300813,31,31,126.52032520325203,202.5040090520828,13.273743896002498,2.4705456013490212,13.740011546356294,1.4228456175665576,175.49025360972402,0.7785888375886987,75.98368384883078,175.49025360972402
Japanese,2.0588235294117645,4.20627802690583,12,12,50.47533632286996,114.05784786869364,18.73323717820704,1.2901854714746102,14.082275781944576,1.1707601199501285,81.24233490854203,1.098003629444779,63.582511545823685,81.24233490854203
Other Civilizations,2.0,4.980769230769231,21,21,104.59615384615385,103.27361156861478,17.40680798306903,2.538800183058488,13.70690737888438,2.007216255861324,72.15989620666137,2.805823565310795,-1.3225422775390712,72.15989620666137
Other Western,1.411764705882353,3.811320754716981,15,15,57.16981132075472,54.859688202447884,7.205292473104288,1.4874392120854814,6.9842740931247915,1.5445597990313176,40.67012163621881,1.9171380513851384,-2.3101231183068336,40.67012163621881
Sinic,3.588235294117647,4.681003584229391,24,24,112.34408602150538,632.7196847132675,26.579492673152096,4.379254986936153,16.177865210097952,3.2590617574411485,589.9623268300174,4.985756895243444,520.3755986917621,589.9623268300174
United States,3.6470588235294117,4.7319034852546915,28,28,132.49329758713137,295.59670512632647,14.87715310157808,2.18218726281328,15.732431347185914,4.112410914009118,264.9871206775625,14.267720269474662,163.1034075391951,264.9871206775625
