rate_name,current_rate,critical_factor,critical_rate,T_at_critical,is_within_bounds,direction,note,group,target,T_equilibrium,M_threshold,proximity
I,11.0,0.1374560516289078,1.5120165679179862,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_PIs,959.4606459128212,119.77848101265822,0.8625439483710922
I,11.0,0.1248393892161175,1.373233281377293,119.77848101265822,True,1,crossing_found,Anglosphere ex-US,domestic_active,959.4606459128212,119.77848101265822,0.8751606107838825
I,29.235294117647054,0.0896051570263,2.61963312012183,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_PIs,1739.7341530099402,129.0692124105012,0.9103948429737
I,29.235294117647054,0.0741890433013553,2.168938501221976,129.0692124105012,True,1,crossing_found,Continental Europe,domestic_active,1739.7341530099402,129.0692124105012,0.9258109566986447
I,11.941176470588236,0.045221073309351,0.5399928165763687,66.04072398190046,True,1,crossing_found,Hindu,domestic_PIs,1617.682568415226,66.04072398190046,0.954778926690649
I,11.941176470588236,0.0408242786757588,0.4874899159517082,66.04072398190046,True,1,crossing_found,Hindu,domestic_active,1617.682568415226,66.04072398190046,0.9591757213242412
I,11.411764705882351,0.1249430303895885,1.4258204644458925,126.52032520325204,True,1,crossing_found,Islamic,domestic_PIs,1172.991877629354,126.52032520325204,0.8750569696104115
I,11.411764705882351,0.1078612116726271,1.2308867684993916,126.52032520325204,True,1,crossing_found,Islamic,domestic_active,1172.991877629354,126.52032520325204,0.8921387883273729
I,13.529411764705882,0.0880178928296134,1.1908303147535932,50.47533632286996,True,1,crossing_found,Japanese,domestic_PIs,764.0725534107164,50.47533632286996,0.9119821071703866
I,13.529411764705882,0.0660609206515204,0.8937653970499825,50.47533632286996,True,1,crossing_found,Japanese,domestic_active,764.0725534107164,50.47533632286996,0.9339390793484796
I,13.117647058823527,0.1786901805275931,2.343994721038427,104.59615384615384,True,1,crossing_found,Other Civilizations,domestic_PIs,762.3802819042928,104.59615384615384,0.8213098194724069
I,13.117647058823527,0.1371968246409665,1.799699523231502,104.59615384615384,True,1,crossing_found,Other Civilizations,domestic_active,762.3802819042928,104.59615384615384,0.8628031753590335
I,8.529411764705882,0.1789598884754457,1.52642257817292,57.16981132075472,True,1,crossing_found,Other Western,domestic_PIs,413.47016104352826,57.16981132075472,0.8210401115245543
I,8.529411764705882,0.1382682880342993,1.1793471626454948,57.16981132075472,True,1,crossing_found,Other Western,domestic_active,413.47016104352826,57.16981132075472,0.8617317119657006
I,22.529411764705884,0.0423973162344526,0.9551865951644324,112.34408602150538,True,1,crossing_found,Sinic,domestic_PIs,2950.8577052316505,112.34408602150538,0.9576026837655474
I,22.529411764705884,0.038071671779472,0.8577323700904577,112.34408602150538,True,1,crossing_found,Sinic,domestic_active,2950.8577052316505,112.34408602150538,0.961928328220528
I,21.41176470588235,0.0845172924234238,1.809664378948605,132.49329758713137,True,1,crossing_found,United States,domestic_PIs,1747.9276114679913,132.49329758713137,0.9154827075765762
I,21.41176470588235,0.0758002200536539,1.6230164764429422,132.49329758713137,True,1,crossing_found,United States,domestic_active,1747.9276114679913,132.49329758713137,0.9241997799463461
