country,iso3,M0_rho1,M0_rho2,M0_R2,M2_rho1,M2_rho2,M2_R2,Mobs_rho1,Mobs_rho2,Mobs_R2
Australia,AUS,-6.369212039577103,0.7392669141816343,0.9957418120349377,-6.278630801660021,0.7334109942299127,0.9986021839183956,-6.48680457582594,0.7414907648460937,0.9980829242174145
Austria,AUT,-12.550167767822938,0.9674174540714373,0.9962468204615439,-13.278285936307482,0.9920872826491116,0.9980467368007216,-13.960702124231023,1.016467572592926,0.9980460555282197
Belgium,BEL,-14.460040624168991,1.0403780862709557,0.9921769545190269,-12.674208987786967,0.9747314352813361,0.9930096996922556,-13.947686705498928,1.0203208807654098,0.9934799551033098
Canada,CAN,-6.621680670774971,0.7609835605630838,0.9997264291350306,-5.5940875206986975,0.7231869358759104,0.9982657651556027,-6.638436291187161,0.7598265459241934,0.9991248892908158
Colombia,COL,-4.898091982018143,0.7178123781586009,0.9810962093134347,-5.055150851121817,0.722999245581049,0.9784880679005136,-5.326642364826267,0.7319259950179051,0.9719007600592623
Costa Rica,CRI,-12.524830799032214,0.9789478873831603,0.9987056488581874,-12.529587112769734,0.9791191966614561,0.9987045729132865,-12.880409064266525,0.9900029023496342,0.9981853245803283
Czech Republic,CZE,-8.370140234676441,0.8361029158402081,0.93156809478409,-4.234944510772684,0.6786090607059818,0.7538564060396868,-7.8645585715788116,0.8153250627937243,0.8849983451553232
Denmark,DNK,-11.395728010837912,0.9143381019948487,0.9968681752419918,-10.577629532622682,0.88285659133126,0.9910858699680458,-11.884911858432604,0.930500961752661,0.9936896423165424
Estonia,EST,-7.9239479335434675,0.8010696486571339,0.9860673800895088,-5.241100088223734,0.6848314855064057,0.9111055288875861,-7.201252791142802,0.7688815130945258,0.9632312633984526
Finland,FIN,-5.629414995351325,0.705769019280061,0.9930578083547598,-4.143392561190599,0.649842746820451,0.9839154445493099,-5.262199047670971,0.6912532098595997,0.9870378119426365
France,FRA,-8.317455554248639,0.8250048464951016,0.9780716806791585,-8.315012795405686,0.8249156057674669,0.9780369065863532,-8.033423335960455,0.8140656162809226,0.9769053951290823
Germany,DEU,-4.429536151303874,0.6968877439606064,0.9969088259853214,-4.436530049156961,0.6971143805514978,0.996949196942255,-6.1377220578312786,0.7525621555749189,0.9983073274946966
Greece,GRC,-2.01845733089999,0.6143703454105905,0.9876552732622538,-2.136751886492307,0.6187046126603148,0.9874827230990573,-3.103256721682982,0.653826603655794,0.9265312283324576
