country,iso3,M0_oos_mape,M1_oos_mape,M2_oos_mape,Mobs_oos_mape
Australia,AUS,4.409623049097564,3.911396769940327,3.835473383291146,4.047072177698623
Austria,AUT,0.42420775144352985,0.42444040511570424,0.33974842533396504,0.36122789401354716
Belgium,BEL,1.8826318456652593,1.8981876454282187,1.450294001866206,1.8436298954361163
Canada,CAN,1.2410200704505432,1.2035710236868395,1.1404322733109007,1.0663428000134618
Colombia,COL,7.958202896879342,7.757732998933226,7.917587147633958,7.588420025067674
Costa Rica,CRI,4.604704417932623,4.594535780205381,4.594475947049151,3.3933637052758265
Czech Republic,CZE,10.411998482705142,9.331382581624794,9.364417400922912,9.853544228961038
Denmark,DNK,4.047278966206182,4.0580237422905325,3.9855050190188646,3.9361577635316154
Estonia,EST,5.551763317363564,3.5746722511587192,3.5489985342394075,4.556133317393829
Finland,FIN,2.5847825540693044,2.5876803079262776,2.9879210688671645,2.9848330215016468
France,FRA,1.2654892997025315,1.2668874901551237,1.2206318962088747,1.427181356635911
Germany,DEU,5.195915570901348,5.19699629611605,5.19699629611605,5.351826203260495
Greece,GRC,11.211557484501771,11.220652560232407,11.23522335430924,13.052401301787143
Hungary,HUN,2.468695650453081,2.469903392772826,2.469903392772826,2.6315197229014933
Iceland,ISL,9.502777979059848,9.247761948637482,9.392313844844082,8.530159498167603
Ireland,IRL,20.498624654050516,21.591839097505485,21.622361840684253,22.30846674581927
Israel,ISR,1.040044453542888,1.0424528370256207,1.686289929834916,1.3883661912667142
Italy,ITA,5.415724286202153,5.419372754943497,5.419372754943497,6.175525855399858
Japan,JPN,3.498791891953294,3.4980066118188033,3.4980066118188033,3.163069257953023
Republic of Korea,KOR,6.576474885510626,5.8052329908243365,5.264678790889328,5.633534601591345
Latvia,LVA,13.909341479547981,12.68929766426564,12.7361936216667,13.132260873658105
Lithuania,LTU,8.838108719182081,7.644116058389605,7.840441275398799,8.092925953385299
Luxembourg,LUX,6.569798381064916,7.630471834510631,7.564082606086334,7.3540899468238194
Mexico,MEX,3.8526165527463485,3.8546199131271663,3.641186112421334,4.063890888881992
Netherlands,NLD,0.9397069570476247,0.9388879050680119,0.9464597647924868,0.7933411613736843
New Zealand,NZL,6.759219596059843,6.551661668216463,6.553751570916033,6.835913917801154
Norway,NOR,3.76630114978906,3.558664932622653,2.283188823711462,2.9700987708316964
Poland,POL,12.48014258339702,12.479457893582168,12.479457893582168,12.373232745584014
Portugal,PRT,2.016518524280465,2.020954246640359,2.020954246640359,3.039487803837506
Slovakia,SVK,7.533454626261632,7.41286278570313,7.591281891681105,7.536253231651633
Slovenia,SVN,5.067023607877541,4.79416791859027,4.928603124974469,4.354919517962763
Spain,ESP,0.6698853927584602,0.6767087730079063,0.6767087730079063,2.045631886065495
Sweden,SWE,4.121434253257507,4.408480823153347,5.343043763775847,4.595840644885118
United Kingdom,GBR,1.844026123966912,1.669435516113634,1.3218439592401132,1.6342683485918774
United States,USA,4.722067800274353,4.720031287592326,3.8299219731112744,4.169108829472494
