group,lever,factor,baseline_T,counterfactual_T,delta_T,delta_T_pct,baseline_margin,counterfactual_margin,delta_margin,baseline_P_D,counterfactual_P_D,delta_P_D
Anglosphere ex-US,alpha,0.9,240.72659470224835,242.36427274997686,1.6376780477285138,0.6803062410923633,120.94811368959013,122.58579173731864,1.6376780477285138,211.28428508655327,211.5393732149522,0.25508812839893835
Anglosphere ex-US,alpha,0.95,240.72659470224835,241.52230216533297,0.795707463084625,0.330544061435682,120.94811368959013,121.74382115267476,0.795707463084625,211.28428508655327,211.40823398454387,0.12394889799060138
Anglosphere ex-US,alpha,1.05,240.72659470224835,239.97343948781688,-0.753155214431473,-0.3128674733105584,120.94811368959013,120.19495847515866,-0.753155214431473,211.28428508655327,211.16695093384104,-0.1173341527122318
Anglosphere ex-US,alpha,1.1,240.72659470224835,239.25951217441985,-1.4670825278284951,-0.6094393224990827,120.94811368959013,119.48103116176163,-1.4670825278284951,211.28428508655327,211.0557157753074,-0.22856931124587732
Anglosphere ex-US,alpha,1.2,240.72659470224835,237.93768951318552,-2.788905189062831,-1.1585363854427435,120.94811368959013,118.1592085005273,-2.788905189062831,211.28428508655327,210.84973428995994,-0.43455079659332796
Anglosphere ex-US,beta,0.9,240.72659470224835,237.70833925795324,-3.0182554442951073,-1.2538105513553037,120.94811368959013,117.92985824529502,-3.0182554442951073,211.28428508655327,208.75607703709326,-2.528208049460005
Anglosphere ex-US,beta,0.95,240.72659470224835,239.28173395050703,-1.4448607517413166,-0.600208196160647,120.94811368959013,119.50325293784881,-1.4448607517413166,211.28428508655327,210.08143640665924,-1.202848679894032
Anglosphere ex-US,beta,1.05,240.72659470224835,242.05798286058533,1.3313881583369778,0.5530706567688355,120.94811368959013,122.27950184792711,1.3313881583369778,211.28428508655327,212.37931208428324,1.095026997729974
Anglosphere ex-US,beta,1.1,240.72659470224835,243.28869827837912,2.5621035761307667,1.0643209485432217,120.94811368959013,123.5102172657209,2.5621035761307667,211.28428508655327,213.3789925913443,2.094707504791046
Anglosphere ex-US,beta,1.2,240.72659470224835,245.49037145801927,4.76377675577092,1.9789158574951697,120.94811368959013,125.71189044536105,4.76377675577092,211.28428508655327,215.1334627351057,3.849177648552427
Anglosphere ex-US,h_D,0.9,240.72659470224835,239.11067182463194,-1.6159228776164127,-0.6712689470870998,120.94811368959013,119.33219081197372,-1.6159228776164127,211.28428508655327,209.7259630836345,-1.5583220029187714
Anglosphere ex-US,h_D,0.95,240.72659470224835,239.9351462650774,-0.791448437170942,-0.3287748236333732,120.94811368959013,120.15666525241919,-0.791448437170942,211.28428508655327,210.52101283309034,-0.7632722534629295
Anglosphere ex-US,h_D,1.05,240.72659470224835,241.48696318968302,0.7603684874346754,0.3158639320159725,120.94811368959013,121.7084821770248,0.7603684874346754,211.28428508655327,212.01764770387172,0.7333626173184484
Anglosphere ex-US,h_D,1.1,240.72659470224835,242.2180477676238,1.4914530653754525,0.619563063740511,120.94811368959013,122.43956675496558,1.4914530653754525,211.28428508655327,212.72282495956352,1.4385398730102565
Anglosphere ex-US,h_D,1.2,240.72659470224835,243.59888289905982,2.8722881968114677,1.1931744393942698,120.94811368959013,123.8204018864016,2.8722881968114677,211.28428508655327,214.05488233535732,2.7705972488040516
