group,n,p_abroad,alpha,p_return,beta,p_hit_domestic,p_hit_abroad,h_D,h_A,p_pi_domestic,p_pi_abroad,p_D,p_A,p_dropout,d
Anglosphere ex-US,187,0.49732620320855614,0.11464502057651692,0.3333333333333333,0.041074216520900805,0.6170212765957447,0.8494623655913979,0.11917878485295148,0.2307283363122913,0.9137931034482759,0.9620253164556962,0.15350567286626973,0.20054365290350323,0.1657754010695187,0.010305622761740794
Continental Europe,497,0.30784708249496984,0.06151027978669315,0.45098039215686275,0.06007738604289302,0.6569767441860465,0.8366013071895425,0.13341441024327436,0.22316607236222058,0.8495575221238938,0.921875,0.12493317116433512,0.1646426118438141,0.24547283702213285,0.015723164020090233
Hindu,203,0.1724137931034483,0.03218521070255577,0.5714285714285714,0.08383291904044432,0.5178571428571429,0.7714285714285715,0.09113489872325109,0.17671166691350065,0.9195402298850575,0.9259259259259259,0.16061298853682027,0.1512455694212243,0.11822660098522164,0.007225173791566544
Islamic,194,0.25773195876288657,0.05023015280165714,0.5,0.06931471805599453,0.4444444444444444,0.6,0.07364468337948721,0.11334016010725054,0.859375,0.9,0.12580464326882532,0.13862943611198905,0.14948453608247425,0.00922927060410967
Japanese,230,0.1826086956521739,0.03416505943444458,0.5,0.06931471805599453,0.4095744680851064,0.7857142857142857,0.06606565010817393,0.18520056761552692,0.8571428571428571,0.8181818181818182,0.1256360801786014,0.10729586082894003,0.25652173913043474,0.01662460526960316
Other Civilizations,223,0.22869955156950672,0.04380146795110685,0.47058823529411764,0.0638087403376918,0.4127906976744186,0.7450980392156863,0.06676031074128223,0.1664043229921079,0.8450704225352113,0.8947368421052632,0.12037018609069272,0.13862943611198905,0.24663677130044848,0.015900093737852596
Other Western,145,0.4206896551724138,0.09129688838140332,0.7049180327868853,0.11986957472250921,0.5476190476190477,0.9344262295081968,0.09884820626548266,0.31671210174467895,0.8043478260869565,0.8245614035087719,0.10457439452758967,0.11197614474048995,0.2896551724137931,0.019224538202075758
Sinic,383,0.25326370757180156,0.04896018642136051,0.5876288659793815,0.08815477834302822,0.46853146853146854,0.845360824742268,0.07906531984293881,0.22781639098685105,0.8731343283582089,0.9512195121951219,0.13481887518932584,0.1880919257606142,0.12271540469973885,0.0073978002186345865
United States,364,0.4340659340659341,0.09498575668933285,0.27848101265822783,0.03302416868705769,0.6990291262135923,0.8037974683544303,0.14930041916372314,0.20117973905426256,0.8888888888888888,0.937007874015748,0.14335955184347468,0.17750585513503017,0.1785714285714286,0.011047269930286954
