rate,value,target_value_after_1pct_change,elasticity,group,target,M_threshold,period
r,0.006348491265953271,2156.622865271431,1.0101010100568277,Anglosphere ex-US,domestic_active,119.77848101265822,early
I0,12.337468843446397,2156.4072029858467,0.9999999999999899,Anglosphere ex-US,domestic_active,119.77848101265822,early
beta,0.037085957893068885,2138.6090555372793,0.1663852310378701,Anglosphere ex-US,domestic_active,119.77848101265822,early
h_D,0.12367662458788971,2138.2020634502187,0.14732287549750286,Anglosphere ex-US,domestic_active,119.77848101265822,early
p_D,0.1683819096205504,2135.9049523304175,0.03973270292774128,Anglosphere ex-US,domestic_active,119.77848101265822,early
h_A,0.21221631494747234,2135.444352527472,0.018159513952537815,Anglosphere ex-US,domestic_active,119.77848101265822,early
p_A,0.2256260175563849,2135.122306990087,0.003075813976563411,Anglosphere ex-US,domestic_active,119.77848101265822,early
alpha,0.10777119415417541,2132.770257826353,-0.10708750082233774,Anglosphere ex-US,domestic_active,119.77848101265822,early
d,0.010356196780304429,2087.648450363084,-2.220465042633519,Anglosphere ex-US,domestic_active,119.77848101265822,early
r,0.006348491265953271,1963.0002182004298,1.0101010100568348,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
I0,12.337468843446397,1962.803918179468,0.9999999999999882,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
h_D,0.12367662458788971,1946.645737455772,0.168548504525607,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
beta,0.037085957893068885,1946.5991578403955,0.16615165728607945,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
p_D,0.1683819096205504,1944.9145230487436,0.07946540585722771,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
h_A,0.21221631494747234,1943.8277522776689,0.02354344296428883,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
p_A,0.2256260175563849,1943.4897649247196,0.006151627953269845,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
alpha,0.10777119415417541,1941.8641247904454,-0.07749893542749628,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
d,0.010356196780304429,1898.3280862701897,-2.317732842553708,Anglosphere ex-US,domestic_PIs,119.77848101265822,early
r,0.011243665607707953,3083.4153196123816,1.0101010100889374,Continental Europe,domestic_active,129.0692124105012,early
I0,28.38982357387832,3083.1069780807893,1.0000000000000144,Continental Europe,domestic_active,129.0692124105012,early
h_D,0.14400163317440315,3057.261743111807,0.1533317687561689,Continental Europe,domestic_active,129.0692124105012,early
beta,0.059351733961110396,3055.4920403127308,0.09535778861943067,Continental Europe,domestic_active,129.0692124105012,early
p_D,0.14687036650980087,3055.303354508762,0.08917659985876185,Continental Europe,domestic_active,129.0692124105012,early
h_A,0.20727850957544156,3053.000966481409,0.0137522981994597,Continental Europe,domestic_active,129.0692124105012,early
p_A,0.22371566717235997,3052.7059795032146,0.004088772084592951,Continental Europe,domestic_active,129.0692124105012,early
alpha,0.058169193411431515,3050.267723260657,-0.07578645840501368,Continental Europe,domestic_active,129.0692124105012,early
d,0.017417137333982185,2984.455307637679,-2.2317460229539225,Continental Europe,domestic_active,129.0692124105012,early
r,0.011243665607707953,2550.466233054982,1.0101010100889283,Continental Europe,domestic_PIs,129.0692124105012,early
I0,28.38982357387832,2550.211186431982,1.0000000000000187,Continental Europe,domestic_PIs,129.0692124105012,early
h_D,0.14400163317440315,2530.3366877412927,0.21287916136545212,Continental Europe,domestic_PIs,129.0692124105012,early
p_D,0.14687036650980087,2529.464920477786,0.17835319971858218,Continental Europe,domestic_PIs,129.0692124105012,early
beta,0.059351733961110396,2527.3011358084814,0.09265745312218285,Continental Europe,domestic_PIs,129.0692124105012,early
h_A,0.20727850957544156,2525.510450106633,0.0217381281466988,Continental Europe,domestic_PIs,129.0692124105012,early
p_A,0.22371566717235997,2525.168050572436,0.008177544169234498,Continental Europe,domestic_PIs,129.0692124105012,early
alpha,0.058169193411431515,2523.797908162553,-0.04608634743882005,Continental Europe,domestic_PIs,129.0692124105012,early
d,0.017417137333982185,2463.9482283605253,-2.4164067711611223,Continental Europe,domestic_PIs,129.0692124105012,early
r,0.005362391766539076,1511.7886160555922,1.010101010076144,Hindu,domestic_active,66.04072398190046,early
I0,7.127187987664498,1511.6374371943589,1.0000000000000058,Hindu,domestic_active,66.04072398190046,early
h_D,0.10411364036688799,1498.2126389295024,0.10302259563834909,Hindu,domestic_active,66.04072398190046,early
beta,0.06931471805599453,1497.3898010288653,0.048044711445038725,Hindu,domestic_active,66.04072398190046,early
p_D,0.17268447769638848,1497.3469623625972,0.0451824475273668,Hindu,domestic_active,66.04072398190046,early
