group,n_early,n_late,T_early,T_late,delta_T,pct_delta_T,M_early,M_late,margin_early,margin_late,delta_margin
Continental Europe,50,17,420.12502682261874,368.35412936893,-51.77089745368875,-12.322735887749666,129.0692124105012,129.0692124105012,291.05581441211757,239.2849169584288,-51.770897453688775
Other Civilizations,21,13,81.48877852899427,1092.5718486694159,1011.0830701404216,1240.763560814292,104.59615384615385,104.59615384615385,-23.10737531715958,987.9756948232621,1011.0830701404217
Sinic,35,26,943.834718519385,1313.3824699377562,369.54775141837126,39.15386287104264,112.34408602150538,112.34408602150538,831.4906324978796,1201.038383916251,369.5477514183714
United States,44,18,563.1280686618638,428.3286642260667,-134.79940443579716,-23.9376106320033,132.49329758713137,132.49329758713137,430.6347710747325,295.8353666389353,-134.79940443579721
