pop1,pop2,region1,region2,nean_corr,geo_dist_km,max_admix_eur,any_admixed,same_continent,continent_pair,nean_resid_uncorrected,nean_resid_corrected,nean_perm_pval,nean_fdr_pval,deni_corr,deni_resid_uncorrected,deni_resid_corrected,deni_perm_pval,deni_fdr_pval
Adygei,BEB,EUROPE,CENTRAL_SOUTH_ASIA,0.608509953785532,5085.050705165719,0.0,0,0,EUR-SAS,0.036021851493376666,0.14341348160188805,0.3387,0.8341910485933504,0.4991912803502625,0.13792713470456036,0.2583702381939146,0.218,0.8470827956989248
Adygei,Balochi,EUROPE,CENTRAL_SOUTH_ASIA,0.7615266105894206,2979.070254720131,0.0,0,0,EUR-SAS,0.13566181953900347,0.26375974189965146,0.1773,0.8341910485933504,0.6560231707328488,0.23663806563262446,0.37899080952743736,0.1044,0.8470827956989248
Adygei,Basque,EUROPE,EUROPE,0.7356596932141659,3340.3504852891,0.0,0,1,EUR-EUR,0.11895165498047733,-0.05358663340335812,0.5762,0.8341910485933504,0.6010514388647837,0.19163696460691915,0.0006162428107282514,0.4612,0.8470827956989248
Adygei,Bedouin,EUROPE,MIDDLE_EAST,0.7623077368225016,1671.0888600693415,0.0,0,0,EUR-WAS,0.1032917758316888,0.24424995290755325,0.2034,0.8341910485933504,0.5993661936276614,0.14388334906851513,0.2998437226104911,0.1789,0.8470827956989248
Adygei,BergamoItalian,EUROPE,EUROPE,0.7278747245945362,2367.7392282941028,0.0,0,1,EUR-EUR,0.0865155703752174,-0.07645986906061608,0.6004,0.8341910485933504,0.5656285640645125,0.1293719130804311,-0.05153021388713597,0.5095,0.8470827956989248
Adygei,Bougainville,EUROPE,OCEANIA,0.1274958922764247,12497.576490473142,0.0,0,0,EUR-OCE,-0.2571195820095058,-0.2226089348201851,0.7549,0.8341910485933504,-0.104369871296432,-0.2610627396863085,-0.21773610440439362,0.7537,0.8651537850714665
Adygei,Brahui,EUROPE,CENTRAL_SOUTH_ASIA,0.7439252120381331,2944.528331173032,0.0,0,0,EUR-SAS,0.11718494586072925,0.24562248921062524,0.2012,0.8341910485933504,0.6397722418654749,0.2194338469388719,0.36214594892918356,0.1186,0.8470827956989248
Adygei,Burusho,EUROPE,CENTRAL_SOUTH_ASIA,0.6901118147685589,3042.660684187741,0.0,0,0,EUR-SAS,0.06585874170012895,0.19333143412727183,0.2793,0.8341910485933504,0.5887298546395419,0.17109972156291853,0.3127909002268817,0.1652,0.8470827956989248
Adygei,CDX,EUROPE,EAST_ASIA,0.3008304187077292,5961.603325783666,0.0,0,0,EAS-EUR,-0.24944120175475681,-0.15066795874145866,0.6685,0.8341910485933504,0.3195507349695574,-0.017522265258858638,0.09380159274550626,0.3859,0.8470827956989248
Adygei,CEU,EUROPE,EUROPE,0.8251218815282007,2469.484488874899,0.0,0,1,EUR-EUR,0.1863414906138785,0.022365677646367654,0.4991,0.8341910485933504,0.7369667619310017,0.30351808201030567,0.12155744470765295,0.3579,0.8470827956989248
Adygei,CHB,EUROPE,EAST_ASIA,0.3293590623854607,6079.195425119666,0.0,0,0,EAS-EUR,-0.21793215202180277,-0.12031509085951769,0.6343,0.8341910485933504,0.299300757173574,-0.03452693010037766,0.07557355443419572,0.4026,0.8470827956989248
Adygei,CHS,EUROPE,EAST_ASIA,0.3135083375388868,6936.957870234296,0.0,0,0,EAS-EUR,-0.21204263751728386,-0.12285921583521947,0.6363,0.8341910485933504,0.307205733591358,-0.0029493805190721756,0.09822734277080775,0.3807,0.8470827956989248
Adygei,CLM,EUROPE,AMERICA,0.7739135365731448,11504.650474292046,0.57,1,0,AMR-EUR,0.3641320628048992,0.16857736927004296,0.3077,0.8341910485933504,0.6073940450019523,0.4232983520912729,0.1871343788919817,0.2903,0.8470827956989248
Adygei,Cambodian,EUROPE,EAST_ASIA,0.2739145901619114,7139.499405384067,0.0,0,0,EAS-EUR,-0.24650291061152202,-0.15931090543055576,0.6794,0.8341910485933504,0.0727884695585119,-0.2317768925911126,-0.1327073171626301,0.6265,0.8598434622467772
Adygei,Colombian,EUROPE,AMERICA,0.2885668007536837,11868.862853510467,0.0,0,0,AMR-EUR,-0.11198360403510649,-0.0712913570559594,0.5947,0.8341910485933504,0.0671487798921476,-0.10689536058322299,-0.0570278812488641,0.5159,0.8470827956989248
Adygei,Dai,EUROPE,EAST_ASIA,0.2388415115923882,6033.328912264244,0.0,0,0,EAS-EUR,-0.30961220296087266,-0.21154417587458302,0.7414,0.8341910485933504,0.0698591393346414,-0.26523437437821495,-0.15465671599186048,0.6605,0.8613697885196374
Adygei,Daur,EUROPE,EAST_ASIA,0.2910589109821489,6109.68990663071,0.0,0,0,EAS-EUR,-0.25545941189703075,-0.15814217671181557,0.6778,0.8341910485933504,0.1136975018287985,-0.21928859713738186,-0.10950536299519291,0.588,0.8515348292029471
Adygei,Druze,EUROPE,MIDDLE_EAST,0.7946612187494205,1390.0184762011968,0.0,0,0,EUR-WAS,0.1285214469009519,0.27224314702403296,0.17,0.8341910485933504,0.6678512133133988,0.2046113734881232,0.3634958724833398,0.1175,0.8470827956989248
Adygei,FIN,EUROPE,EUROPE,0.7943081599499305,2082.7816083525504,0.0,0,1,EUR-EUR,0.14572667174090292,-0.014447024802808905,0.5424,0.8341910485933504,0.6615681341093885,0.21744720771317033,0.03950964719368866,0.4312,0.8470827956989248
Adygei,French,EUROPE,EUROPE,0.7817379037455464,2951.09409515944,0.0,0,1,EUR-EUR,0.15516404877138457,-0.013547016727579853,0.5409,0.8341910485933504,0.6665985025713598,0.24644130994526303,0.05947023045770006,0.417,0.8470827956989248
Adygei,GBR,EUROPE,EUROPE,0.8095534407970565,3041.8394956941547,0.0,0,1,EUR-EUR,0.18527955446674438,0.015676267587656723,0.506,0.8341910485933504,0.7164552506281259,0.2988024543481807,0.11088730194971097,0.3677,0.8470827956989248
Adygei,GIH,EUROPE,CENTRAL_SOUTH_ASIA,0.6616157006844089,3804.010726530068,0.0,0,0,EUR-SAS,0.056659266498641725,0.1766462595786794,0.2981,0.8341910485933504,0.4930568828218772,0.09643852833622535,0.23020897552004982,0.2457,0.8470827956989248
Adygei,Han,EUROPE,EAST_ASIA,0.2907545782114483,6079.195425119666,0.0,0,0,EAS-EUR,-0.2565366361958152,-0.1589195750335301,0.679,0.8341910485933504,0.2633220453774849,-0.0705056418964668,0.03959484263810659,0.4311,0.8470827956989248
Adygei,Hazara,EUROPE,CENTRAL_SOUTH_ASIA,0.5752350888655673,2553.6386894122875,0.0,0,0,EUR-SAS,-0.06141238929126269,0.07086843530035536,0.4268,0.8341910485933504,0.479087611523497,0.04796142366407641,0.19474015955281032,0.2844,0.8470827956989248
