Variable,OR,95% CI lower,95% CI upper,P-value
twin,1.0630865930108273,0.28569246912584123,3.955837924945656,0.9272940075763516
年齢(歳),1.048747557743194,0.9620566862921734,1.1432501385248794,0.27959090798067165
BMI,0.9933673147725357,0.9316350541642643,1.05919009557192,0.8389062210609997
GA_weeks,0.9339997633330926,0.8040452555200611,1.0849582805410978,0.37173299805502724
emergency,0.6694401285858996,0.23578327061576482,1.9006865270412525,0.4509991566775736
prior_cs,0.39118211354481,0.12495532024356558,1.22462529533843,0.106972375966321
HDP,1.3468133331820014,0.39865408236223965,4.550075453105721,0.6316894537273594
epidural,2.3190902870237005,0.9308863798726313,5.777482489435004,0.07088951760169983
手術時間_min,1.0234658566066164,0.996981661662223,1.05065358764282,0.08292168038883302
