Variable,OR,95% CI lower,95% CI upper,P-value
twin,0.9258260227145134,0.6756009813110869,1.268727914918007,0.6316513256380629
年齢(歳),0.998188004935988,0.980454688315459,1.0162420610278171,0.8428060873041978
BMI,0.9994784479200637,0.9916909446624969,1.0073271045110486,0.8959980561434037
GA_weeks,0.9870828697377253,0.9563130682168923,1.01884270341131,0.42102429590159174
emergency,0.9274038576654646,0.7432973034767965,1.1571115772783567,0.5044475045461957
prior_cs,0.7713923305785473,0.6207879430080088,0.9585336416041285,0.019174900368580213
HDP,1.1950943675497965,0.872224640236296,1.63748016447038,0.267356617875247
epidural,1.6630745953526844,1.3684161480257884,2.0211812858959126,3.182548098173982e-07
手術時間_min,1.0115146932512749,1.0052131483315943,1.0178557417015655,0.0003297730518347572
hypotension,1.137166999490089,0.9407584019773736,1.3745811698425778,0.18394617814226955
