Variable,OR,95% CI lower,95% CI upper,P-value
twin,0.9423574948402398,0.6798995994214221,1.306130565214733,0.7214925922940474
年齢(歳),0.9985486799423791,0.9800869139445514,1.0173582077549082,0.8787630209861466
BMI,0.9994087194311645,0.9912620306874763,1.0076223617506297,0.8873720732398044
GA_weeks,0.9862486019264619,0.9545330543140875,1.019017938043914,0.40637022316820215
emergency,0.9683629927738233,0.7692658245569821,1.2189893998136598,0.7842757597074572
prior_cs,0.771339058103889,0.6147186420708223,0.9678638353187415,0.024959048915637747
HDP,1.18137246148802,0.8532760395578805,1.6356264890379506,0.31533384722639335
epidural,1.571163900632988,1.28172504736498,1.9259637686937767,1.366209805172237e-05
手術時間_min,1.0102370036430324,1.0036653197051322,1.0168517168945213,0.002222957186124423
hypotension,1.072973646250183,0.8807903026775845,1.3070902824969444,0.4842779990556645
