Variable,OR,95% CI lower,95% CI upper,P-value
twin,0.9241939941857013,0.67444671997809,1.2664225558346065,0.6238059408791594
年齢(歳),0.998542769351669,0.9808141965481353,1.0165917925470878,0.8732341375364221
BMI,0.9996132886733408,0.9919460308819891,1.0073398106183953,0.9215706010001948
GA_weeks,0.9870257481645283,0.9562576938777847,1.0187837794947536,0.4189603886885147
emergency,0.9243575860744816,0.7409625948101002,1.1531445081278693,0.48573845692731166
prior_cs,0.7749590341943721,0.6238136035257293,0.9627258868437031,0.02127166683270282
HDP,1.1916304781384381,0.8697885643406925,1.6325613541548485,0.2750648782799541
epidural,1.6560697038928136,1.3628095528730038,2.012435896394985,3.9183571436358144e-07
手術時間_min,1.0114383816675234,1.0051419769024774,1.0177742283361773,0.00035738594007823194
hypotension,1.1307025667342863,0.9355866350436204,1.366509788118014,0.2037161646546125
