Covariates,aOR,CI_lo,CI_hi,P,n_covs
twin only (crude),2.7027544910180024,1.209361415973689,6.040280219157336,0.01538183576666178,0
twin + 年齢(歳),3.026869679624115,1.340403114950851,6.8352124485802435,0.007701128750475256,1
twin + BMI,2.7221042391456827,1.2161542468368398,6.092855004246026,0.014850443735086776,1
twin + GA_weeks,2.7530863407194106,1.2184303888743453,6.220695469076531,0.014892429306753692,1
twin + emergency,2.6827052381444823,1.1958395544878535,6.018288463329923,0.016674444926739685,1
twin + prior_cs,2.5572632648866778,1.107091149186088,5.907007215030718,0.02793934189670975,1
twin + HDP,2.6995325885082275,1.20775899708636,6.033882764689391,0.015522461780663901,1
twin + epidural,2.667598253311971,1.1892521180064255,5.9836600947173,0.017290416539704628,1
twin + 手術時間_min,3.3635224373507002,1.4758060628332117,7.665833249690455,0.0039021370691318478,1
twin + hypotension,2.769234609348329,1.2360524572515603,6.204154424533354,0.013327863958342822,1
all MINUS 年齢(歳),2.692234013354485,1.0905201623078018,6.646483240918749,0.031721753815498376,8
all MINUS BMI,3.001042596590557,1.2067470732720158,7.463251302637191,0.01806578197768051,8
all MINUS GA_weeks,3.070747340970731,1.2491735082121707,7.548582458792606,0.014494292304576814,8
all MINUS emergency,3.1358864565890725,1.31009962602081,7.506134398715235,0.010272974405937899,8
all MINUS prior_cs,3.671945500511016,1.5448989365669499,8.727550676347295,0.0032332243454412904,8
all MINUS HDP,3.011968105940318,1.2072080251448618,7.514820712124653,0.018096010601051055,8
all MINUS epidural,3.363550598556669,1.3663691945931982,8.279952939380507,0.008312006256623188,8
all MINUS 手術時間_min,2.6888247319504948,1.086658499989617,6.65322034403424,0.032374802926789056,8
all MINUS hypotension,2.9417567235284405,1.181609837359221,7.32384950328905,0.02041958715055614,8
reduced (6 covs),3.182389476111665,1.3762716424945478,7.358723717731762,0.006795196123716397,5
