Drug,Singleton,Twin,P-value
Metoclopramide,349 (12.3%),38 (11.1%),0.5377620254931391
Droperidol,114 (4.0%),14 (4.1%),0.9376073471628807
Ondansetron,25 (0.9%),7 (2.0%),0.07474368844619421
Granisetron,0 (0.0%),1 (0.3%),0.10727728983688832
Prochlorperazine (Novamin),30 (1.1%),4 (1.2%),0.7800165252088382
Hydroxyzine (Atarax-P),16 (0.6%),3 (0.9%),0.448968607496278
Dexamethasone,2 (0.1%),0 (0.0%),1.0
