Outcome,Singleton,Twin,P-value
Primary: IONV before delivery,54/2846 (1.9%),5/342 (1.5%),0.5724166644609834
Secondary: any IONV (anesthesia→exit),504/2846 (17.7%),58/342 (17.0%),0.7309192162655435
Post-delivery IONV only,454/2846 (16.0%),54/342 (15.8%),0.9380718799228438
