Variable,OR,95% CI lower,95% CI upper,P-value
twin,1.1612719683092583,0.39353957854369587,3.4267267078224135,0.7865335000734165
年齢(歳),0.9907468926326298,0.9289624153747014,1.05664060140182,0.7772056008589594
BMI,1.0059952078298366,0.9953447869675607,1.0167595906739593,0.2710219782304859
GA_weeks,0.9363117880171816,0.8576376954699818,1.0222029290579573,0.14168001193912405
emergency,2.1310868130331544,0.9261417546498781,4.9037104545628685,0.07515636775748248
prior_cs,1.0413751532753779,0.4656696469104906,2.328823055258674,0.9213515711351374
HDP,1.158743253797846,0.4248930941148768,3.1600558983408704,0.7734717047162167
epidural,0.8146676547280636,0.37453337597787917,1.772027355178413,0.6051711292421953
手術時間_min,1.0085870240929267,0.986285235436516,1.0313930986895552,0.45356792935584644
hypotension,1.3987064592263854,0.6985344358935343,2.8006919323584927,0.34353461830257204
