Variable,OR,95% CI lower,95% CI upper,P-value
twin,0.9593949484225094,0.6121130062910415,1.5037070893752393,0.8565309432523132
年齢(歳),0.993100975113138,0.9689535946525168,1.0178501346334872,0.58148078573743
BMI,1.0030888877747324,0.9833434746061546,1.0232307863538166,0.7610905519964046
GA_weeks,0.9889614607407351,0.9499605369321209,1.0295635795451303,0.5887072718383998
emergency,1.125822017877052,0.8330881553573409,1.5214178809121253,0.4404876218194673
prior_cs,0.78924244397977,0.590981122729037,1.0540161291492884,0.10881517450840837
HDP,0.9805877025202495,0.5659353353404355,1.6990496657281962,0.9442740404957375
epidural,1.4513656035344293,1.1138817858361432,1.8911002423310366,0.005803478849416352
手術時間_min,1.0105896037504494,1.002211714089956,1.0190375275506127,0.01313393235612586
