Variable,IRR,95% CI lower,95% CI upper,P-value
twin,1.0244465730744987,0.7846656201391524,1.3375006552446733,0.8590929767053117
年齢(歳),0.9978399526896263,0.9824331934514351,1.0134883245197026,0.7853391777294609
BMI,1.001701363608969,0.996717935601262,1.0067097079483893,0.5041069710680361
GA_weeks,0.980972860044356,0.9551666240247403,1.0074763166333986,0.15784658992187806
emergency,0.9751835350244132,0.8041742485838872,1.1825582933765248,0.7983762078632772
prior_cs,0.8324121074534743,0.6889937392888482,1.0056839084638538,0.05727354505126334
HDP,1.1957164701346055,0.916533291155684,1.5599410198710426,0.1876605167474309
epidural,1.500908821110923,1.269039230853279,1.7751439313455166,2.108367353309353e-06
手術時間_min,1.009167421249229,1.0039009567091488,1.0144615136629218,0.000629947280165762
hypotension,1.1308897819891794,0.9584689665205421,1.334327707708963,0.14500996275110412
