Model,n_covariates,aOR,CI_lower,CI_upper,P,AIC
Crude (twin only),0,8.039325842696678,1.6077069582928218,40.200584858872666,0.011144080570688206,82.78615255532733
Twin + Age (per year),1,9.052411334132076,1.7398445088117518,47.099698017433184,0.008842112625178084,84.22433422417143
Twin + BMI (per kg/m²),1,8.296363127797546,1.6459657035024413,41.81717820840159,0.010353230057971898,84.49662247954862
Twin + GA (per week),1,10.993245501879535,1.5206252386086165,79.47483942537653,0.017537998099810003,84.38869281623074
Twin + Surgery time (per min),1,12.31518160830347,2.14036239246322,70.85888753210385,0.004918709680308174,79.62815975378966
Twin + Hypotension (SBP < 90),1,8.037851088908534,1.5902452900408748,40.62709729881199,0.01169864457462394,84.78614882726828
Full minus Age (per year),5,11.569218845077662,1.5785717015543406,84.78982902931035,0.015988348692530227,81.90141260355355
Full minus BMI (per kg/m²),5,11.52248378690208,1.5925429013293921,83.36832402354254,0.015485227502046396,82.05645507038052
Full minus GA (per week),5,11.272257074809712,1.8821418106095806,67.51020504636931,0.007991033379229332,81.74990823767534
Full minus Epidural anesthesia,5,18.142023567355903,2.262528120165391,145.47134958677879,0.00635880262235452,86.58455215960373
Full minus Hypotension (SBP < 90),5,12.367782249532263,1.6322162895914716,93.71431883585129,0.014927588774623775,81.71250454713456
Reduced (5 covariates),4,13.587278953793321,1.7409709666536344,106.04091217158349,0.012815861212102762,89.37280678668655
