Model,n_covariates,aOR,CI_lower,CI_upper,P,AIC
Crude (twin only),0,2.7027544910180024,1.209361415973689,6.040280219157336,0.01538183576666178,366.4167415334838
Twin + Age (per year),1,3.026869679624115,1.340403114950851,6.8352124485802435,0.007701128750475256,364.4673155208897
Twin + BMI (per kg/m²),1,2.7221042391456827,1.2161542468368398,6.092855004246026,0.014850443735086776,366.34592997926677
Twin + GA (per week),1,2.7530863407194106,1.2184303888743453,6.220695469076531,0.014892429306753692,368.2919633479082
Twin + Emergency CS,1,2.6827052381444823,1.1958395544878535,6.018288463329923,0.016674444926739685,368.3823663996916
Twin + Prior CS,1,2.5572632648866778,1.107091149186088,5.907007215030718,0.02793934189670975,368.21406147974926
Twin + HDP,1,2.6995325885082275,1.20775899708636,6.033882764689391,0.015522461780663901,367.7859334245652
Twin + Epidural anesthesia,1,2.6675982532751554,1.1892521179700328,5.983660094735248,0.017290416543599172,343.04369119426394
Twin + Surgery time (per min),1,3.3635224373507002,1.4758060628332117,7.665833249690455,0.0039021370691318478,357.5179467032626
Twin + Hypotension (SBP < 90),1,2.769234609348329,1.2360524572515603,6.204154424533354,0.013327863958342822,367.760623631821
Full minus BMI (per kg/m²),8,3.001042587432794,1.2067470677552863,7.463251291207346,0.01806578249022302,342.4320947352342
Full minus Emergency CS,8,3.1358864598368124,1.3100996039506083,7.506134540712827,0.010272975894592423,340.38114911119106
Full minus Prior CS,8,3.671945888017552,1.5448988619997275,8.727552939663818,0.0032332273149221534,341.9767011374754
Full minus HDP,8,3.011968128360013,1.2072080215387049,7.514820846446519,0.018096011138737978,341.2527799656795
Full minus Epidural anesthesia,8,3.363550598556669,1.3663691945931982,8.279952939380507,0.008312006256623188,363.0779036271767
Full minus Surgery time (per min),8,2.688824729644024,1.0866584983084764,6.653220342913013,0.03237480320846606,347.7481466468699
Full minus Hypotension (SBP < 90),8,2.9417567974567636,1.1816098321646393,7.323849903592608,0.020419588293355884,341.18781251287305
Reduced (6 covariates),5,3.182389476111665,1.3762716424945478,7.358723717731762,0.006795196123716397,369.7138586357363
